CPI Card Group PE Ratio Historical Data,CPI Card Group PE Ratio Historical Data,CPI Card Group PE Ratio Historical Data,CPI Card Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,28.97,,17.56
2024-12-31,29.89,$1.65,18.12
2024-09-30,27.83,$1.31,21.24
2024-06-30,27.25,$1.53,17.81
2024-03-31,17.86,$1.57,11.38
2023-12-31,19.19,$2.02,9.5
2023-09-30,18.52,$2.85,6.5
2023-06-30,23.25,$3.53,6.59
2023-03-31,45.01,$3.50,12.86
2022-12-31,36.08,$3.10,11.64
2022-09-30,15.76,$2.10,7.5
2022-06-30,16.8,$1.65,10.18
2022-03-31,14.5,$1.66,8.73
2021-12-31,18.55,$1.36,13.64
2021-09-30,34.72,$1.94,17.9
2021-06-30,0.8,$1.90,0.42
2021-03-31,0.8,$1.38,0.58
2020-12-31,0.8,$1.38,0.58
2020-09-30,0.8,$0.54,1.48
2020-06-30,0.8,$-0.04,0.0
2020-03-31,0.8,$0.09,8.88
2019-12-31,0.9,$-0.39,0.0
2019-09-30,2.59,$-0.85,0.0
2019-06-30,2.5,$-1.34,0.0
2019-03-31,3.42,$-2.98,0.0
2018-12-31,2.29,$-3.36,0.0
2018-09-30,3.39,$-4.01,0.0
2018-06-30,2.0,$-3.51,0.0
2018-03-31,3.02,$-2.21,0.0
2017-12-31,3.67,$-1.96,0.0
2017-09-30,5.9,$-1.00,0.0
2017-06-30,14.25,$-0.60,0.0
2017-03-31,20.61,$-0.45,0.0
2016-12-31,20.17,$0.45,44.81
2016-09-30,29.0,$0.60,48.33
