EPR Properties PE Ratio Historical Data,EPR Properties PE Ratio Historical Data,EPR Properties PE Ratio Historical Data,EPR Properties PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,51.61,,32.26
2024-12-31,44.28,$1.60,27.68
2024-09-30,48.43,$2.31,20.97
2024-06-30,40.71,$2.44,16.69
2024-03-31,40.61,$2.03,20.01
2023-12-31,45.46,$1.97,23.07
2023-09-30,38.26,$1.93,19.83
2023-06-30,42.3,$1.87,22.62
2023-03-31,33.79,$2.23,15.15
2022-12-31,32.77,$2.02,16.22
2022-09-30,30.5,$2.05,14.88
2022-06-30,39.16,$1.80,21.76
2022-03-31,44.92,$1.51,29.75
2021-12-31,38.38,$0.99,38.77
2021-09-30,39.3,$0.13,302.32
2021-06-30,41.31,$-1.45,0.0
2021-03-31,36.54,$-2.52,0.0
2020-12-31,25.49,$-2.08,0.0
2020-09-30,21.57,$-1.34,0.0
2020-06-30,25.98,$0.25,103.92
2020-03-31,18.76,$1.94,9.67
2019-12-31,53.29,$2.33,22.87
2019-09-30,57.1,$2.59,22.05
2019-06-30,54.6,$3.38,16.15
2019-03-31,55.47,$3.74,14.83
2018-12-31,45.5,$3.27,13.91
2018-09-30,47.84,$3.36,14.24
2018-06-30,44.6,$2.98,14.97
2018-03-31,37.46,$2.85,13.14
2017-12-31,43.44,$3.28,13.24
2017-09-30,45.58,$3.36,13.57
2017-06-30,46.3,$3.40,13.62
2017-03-31,46.77,$3.15,14.85
2016-12-31,44.97,$3.17,14.19
2016-09-30,48.67,$3.13,15.55
2016-06-30,49.28,$3.08,16.0
2016-03-31,40.14,$3.06,13.12
2015-12-31,34.69,$2.93,11.84
2015-09-30,30.12,$2.96,10.18
2015-06-30,31.46,$2.88,10.92
2015-03-31,33.94,$2.78,12.21
2014-12-31,32.11,$2.85,11.27
2014-09-30,27.81,$3.16,8.8
2014-06-30,30.18,$3.27,9.23
2014-03-31,28.39,$3.18,8.93
2013-12-31,25.72,$3.22,7.99
2013-09-30,25.1,$2.50,10.04
2013-06-30,25.49,$2.31,11.03
2013-03-31,26.0,$2.40,10.83
2012-12-31,22.68,$1.98,11.46
2012-09-30,21.51,$2.26,9.52
2012-06-30,19.57,$2.21,8.86
2012-03-31,21.68,$1.40,15.48
2011-12-31,20.11,$1.80,11.17
2011-09-30,17.65,$1.69,10.44
2011-06-30,20.77,$1.72,12.08
2011-03-31,20.51,$2.06,9.96
2010-12-31,19.95,$1.85,10.79
2010-09-30,18.37,$1.45,12.67
2010-06-30,15.96,$-1.02,0.0
2010-03-31,16.96,$-0.62,0.0
2009-12-31,14.32,$-0.62,0.0
