Janus PE Ratio Historical Data,Janus PE Ratio Historical Data,Janus PE Ratio Historical Data,Janus PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,8.07,,16.81
2024-12-31,7.35,$0.48,15.31
2024-09-30,10.11,$0.72,14.04
2024-06-30,12.63,$0.89,14.19
2024-03-31,15.13,$0.95,15.93
2023-12-31,13.05,$0.92,14.18
2023-09-30,10.7,$0.90,11.89
2023-06-30,10.66,$0.87,12.25
2023-03-31,9.86,$0.78,12.64
2022-12-31,9.52,$0.73,13.04
2022-09-30,8.92,$0.58,15.38
2022-06-30,9.03,$0.46,19.63
2022-03-31,9.0,$0.31,29.03
