Adherex Technologies PE Ratio Historical Data,Adherex Technologies PE Ratio Historical Data,Adherex Technologies PE Ratio Historical Data,Adherex Technologies PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,6.62,,0.0
2024-09-30,5.0,$-0.10,0.0
2024-06-30,6.11,$0.04,152.75
2024-03-31,11.12,$0.03,370.67
2023-12-31,11.22,$-0.61,0.0
2023-09-30,7.51,$-0.77,0.0
2023-06-30,8.83,$-1.01,0.0
2023-03-31,8.32,$-0.99,0.0
2022-12-31,9.6,$-0.90,0.0
2022-09-30,8.1,$-0.82,0.0
2022-06-30,5.58,$-0.67,0.0
2022-03-31,5.6,$-0.63,0.0
2021-12-31,4.4,$-0.67,0.0
2021-09-30,9.42,$-0.62,0.0
2021-06-30,7.29,$-0.70,0.0
2021-03-31,6.21,$-0.76,0.0
2020-12-31,7.45,$-0.77,0.0
2020-09-30,6.06,$-0.82,0.0
2020-06-30,8.35,$-0.67,0.0
2020-03-31,5.94,$-0.70,0.0
2019-12-31,6.49,$-0.64,0.0
2019-09-30,4.81,$-0.61,0.0
2019-06-30,4.0,$-0.66,0.0
2019-03-31,4.85,$-0.56,0.0
2018-12-31,6.38,$-0.52,0.0
2018-09-30,8.2,$-0.52,0.0
2018-06-30,10.44,$-0.53,0.0
