Genpact PE Ratio Historical Data,Genpact PE Ratio Historical Data,Genpact PE Ratio Historical Data,Genpact PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,49.44,,17.41
2024-12-31,42.95,$2.84,15.12
2024-09-30,39.08,$3.64,10.74
2024-06-30,31.95,$3.54,9.03
2024-03-31,32.56,$3.50,9.3
2023-12-31,34.15,$3.43,9.96
2023-09-30,35.47,$2.32,15.29
2023-06-30,36.68,$2.19,16.75
2023-03-31,44.95,$1.94,23.17
2022-12-31,44.92,$1.88,23.89
2022-09-30,42.33,$1.78,23.78
2022-06-30,40.85,$1.80,22.7
2022-03-31,41.84,$1.95,21.46
2021-12-31,50.89,$1.91,26.65
2021-09-30,45.46,$1.91,23.8
2021-06-30,43.37,$1.81,23.96
2021-03-31,40.79,$1.60,25.49
2020-12-31,39.29,$1.57,25.03
2020-09-30,36.92,$1.61,22.93
2020-06-30,34.53,$1.63,21.18
2020-03-31,27.53,$1.69,16.29
2019-12-31,39.66,$1.56,25.42
2019-09-30,36.37,$1.55,23.46
2019-06-30,35.75,$1.48,24.15
2019-03-31,32.94,$1.43,23.04
2018-12-31,25.21,$1.45,17.38
2018-09-30,28.51,$1.38,20.66
2018-06-30,26.88,$1.38,19.48
2018-03-31,29.65,$1.41,21.03
2017-12-31,29.35,$1.34,21.9
2017-09-30,26.54,$1.38,19.23
2017-06-30,25.63,$1.33,19.27
2017-03-31,22.76,$1.28,17.78
2016-12-31,22.31,$1.29,17.3
2016-09-30,21.96,$1.21,18.15
2016-06-30,24.61,$1.19,20.68
2016-03-31,24.93,$1.16,21.49
2015-12-31,22.9,$1.09,21.01
2015-09-30,21.64,$1.00,21.64
2015-06-30,19.55,$0.90,21.73
2015-03-31,21.31,$0.84,25.37
2014-12-31,17.35,$0.85,20.42
2014-09-30,14.96,$0.85,17.6
2014-06-30,16.07,$0.94,17.1
2014-03-31,15.97,$0.99,16.13
2013-12-31,16.84,$0.98,17.18
2013-09-30,17.31,$1.00,17.31
2013-06-30,17.64,$0.81,21.78
2013-03-31,16.68,$0.81,20.59
2012-12-31,14.21,$0.78,18.22
2012-09-30,15.29,$0.82,18.65
2012-06-30,13.44,$0.92,14.61
2012-03-31,13.17,$0.82,16.06
2011-12-31,12.08,$0.81,14.91
2011-09-30,11.63,$0.74,15.71
2011-06-30,13.93,$0.71,19.62
2011-03-31,11.7,$0.66,17.73
2010-12-31,12.28,$0.63,19.49
2010-09-30,14.33,$0.59,24.28
2010-06-30,12.55,$0.56,22.41
2010-03-31,13.55,$0.58,23.36
2009-12-31,12.04,$0.59,20.4
