National Steel PE Ratio Historical Data,National Steel PE Ratio Historical Data,National Steel PE Ratio Historical Data,National Steel PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.79,,0.0
2024-09-30,2.27,$-0.15,0.0
2024-06-30,2.19,$-0.03,0.0
2024-03-31,2.83,$0.09,31.4
2023-12-31,3.55,$0.05,70.97
2023-09-30,2.06,$-0.05,0.0
2023-06-30,2.23,$-0.03,0.0
2023-03-31,2.42,$-0.01,0.0
2022-12-31,2.1,$0.29,7.25
2022-09-30,1.68,$0.40,4.2
2022-06-30,2.07,$0.53,3.9
2022-03-31,3.75,$1.22,3.07
2021-12-31,3.04,$1.75,1.74
2021-09-30,3.61,$2.13,1.69
2021-06-30,5.85,$2.14,2.73
2021-03-31,4.4,$1.44,3.06
2020-12-31,3.91,$0.53,7.38
2020-09-30,1.93,$0.21,9.2
2020-06-30,1.29,$-0.12,0.0
2020-03-31,0.86,$0.15,5.73
2019-12-31,2.26,$0.36,6.29
2019-09-30,2.07,$0.48,4.32
2019-06-30,2.77,$0.77,3.59
2019-03-31,2.64,$0.69,3.82
2018-12-31,1.41,$0.69,2.04
2018-09-30,1.46,$0.37,3.96
2018-06-30,1.21,$0.24,5.03
2018-03-31,1.57,0,0.0
2017-12-31,1.47,0,0.0
2017-09-30,1.77,0,0.0
2017-06-30,1.29,$-0.02,0.0
2017-03-31,1.75,$-0.03,0.0
2016-12-31,1.93,$-0.19,0.0
2016-09-30,1.65,$0.25,6.6
2016-06-30,1.47,$0.16,9.16
2016-03-31,1.18,$0.02,58.9
2015-12-31,0.58,$0.27,2.16
2015-09-30,0.57,$-0.15,0.0
2015-06-30,0.99,$-0.11,0.0
2015-03-31,1.0,$0.05,20.09
2014-12-31,1.16,$-0.02,0.0
2014-09-30,1.97,$-0.18,0.0
2014-06-30,2.37,$0.04,59.2
2014-03-31,2.42,$0.19,12.76
2013-12-31,3.33,$0.18,18.52
2013-09-30,2.24,$0.43,5.21
2013-06-30,1.41,$0.34,4.16
2013-03-31,2.19,$-0.17,0.0
2012-12-31,2.83,$-0.14,0.0
2012-09-30,2.7,$0.06,45.07
2012-06-30,2.72,$0.44,6.19
2012-03-31,4.3,$1.27,3.39
2011-12-31,3.72,$1.42,2.62
2011-09-30,3.61,$1.29,2.8
2011-06-30,5.67,$1.13,5.02
2011-03-31,7.17,$0.98,7.32
2010-12-31,7.17,$0.97,7.4
2010-09-30,7.61,$1.33,5.72
2010-06-30,6.32,$1.93,3.28
2010-03-31,8.32,$1.83,4.55
2009-12-31,6.65,$1.85,3.6
