Pulmonx PE Ratio Historical Data,Pulmonx PE Ratio Historical Data,Pulmonx PE Ratio Historical Data,Pulmonx PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,7.7,,0.0
2024-12-31,6.79,$-1.44,0.0
2024-09-30,8.29,$-1.47,0.0
2024-06-30,6.34,$-1.50,0.0
2024-03-31,9.27,$-1.54,0.0
2023-12-31,12.75,$-1.60,0.0
2023-09-30,10.33,$-1.62,0.0
2023-06-30,13.11,$-1.61,0.0
2023-03-31,11.18,$-1.58,0.0
2022-12-31,8.43,$-1.59,0.0
2022-09-30,16.66,$-1.56,0.0
2022-06-30,14.72,$-1.46,0.0
2022-03-31,24.81,$-1.40,0.0
2021-12-31,32.07,$-1.31,0.0
2021-09-30,35.98,$-1.23,0.0
