SaverOne 2014 PE Ratio Historical Data,SaverOne 2014 PE Ratio Historical Data,SaverOne 2014 PE Ratio Historical Data,SaverOne 2014 PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4.51,,inf
2024-06-30,0.4,0.0,0.0
2023-12-31,0.72,0.0,0.0
2023-06-30,1.37,0.0,0.0
