NiSun Enterprise Development Group PE Ratio Historical Data,NiSun Enterprise Development Group PE Ratio Historical Data,NiSun Enterprise Development Group PE Ratio Historical Data,NiSun Enterprise Development Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,7.15,,inf
2024-06-30,3.49,0,0.0
2023-12-31,4.0,0,0.0
2023-06-30,3.69,$4.40,0.84
2022-12-31,5.7,$9.00,0.63
2022-06-30,6.31,$12.00,0.53
2021-12-31,32.1,$14.10,2.28
2021-09-30,118.0,$9.70,12.16
2021-06-30,107.0,$5.10,20.98
2021-03-31,165.8,$2.10,78.95
2020-12-31,182.1,0,0.0
2019-12-31,58.0,0,0.0
