TPI Composites PE Ratio Historical Data,TPI Composites PE Ratio Historical Data,TPI Composites PE Ratio Historical Data,TPI Composites PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.89,,0.0
2024-12-31,1.89,$-5.07,0.0
2024-09-30,4.55,$-3.75,0.0
2024-06-30,3.99,$-4.62,0.0
2024-03-31,2.91,$-4.60,0.0
2023-12-31,4.14,$-4.18,0.0
2023-09-30,2.65,$-5.87,0.0
2023-06-30,10.37,$-4.55,0.0
2023-03-31,13.05,$-3.13,0.0
2022-12-31,10.14,$-2.96,0.0
2022-09-30,11.28,$-3.97,0.0
2022-06-30,12.5,$-4.41,0.0
2022-03-31,14.06,$-5.01,0.0
2021-12-31,14.96,$-4.35,0.0
2021-09-30,33.75,$-1.82,0.0
2021-06-30,48.42,$0.14,345.86
2021-03-31,56.43,$-0.65,0.0
2020-12-31,52.78,$-0.61,0.0
2020-09-30,28.96,$-0.77,0.0
2020-06-30,23.37,$-2.03,0.0
2020-03-31,14.78,$-0.11,0.0
2019-12-31,18.51,$-0.45,0.0
2019-09-30,18.75,$-0.69,0.0
2019-06-30,24.72,$-0.30,0.0
2019-03-31,28.62,$-0.47,0.0
2018-12-31,24.58,$0.12,204.83
2018-09-30,28.55,$0.55,51.91
2018-06-30,29.24,$0.87,33.61
2018-03-31,22.45,$1.40,16.04
2017-12-31,20.46,$1.26,16.24
2017-09-30,22.34,$1.02,21.9
2017-06-30,18.48,$0.52,35.54
