Global Industrial PE Ratio Historical Data,Global Industrial PE Ratio Historical Data,Global Industrial PE Ratio Historical Data,Global Industrial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,22.66,,14.43
2024-12-31,24.79,$1.57,15.79
2024-09-30,33.67,$1.70,19.81
2024-06-30,30.84,$1.80,17.13
2024-03-31,43.73,$1.84,23.76
2023-12-31,37.72,$1.85,20.39
2023-09-30,32.35,$1.81,17.87
2023-06-30,26.66,$1.80,14.81
2023-03-31,25.55,$1.84,13.88
2022-12-31,22.23,$2.07,10.74
2022-09-30,25.18,$2.84,8.87
2022-06-30,31.52,$2.92,10.79
2022-03-31,29.92,$2.89,10.35
2021-12-31,37.75,$2.70,13.98
2021-09-30,33.99,$1.98,17.17
2021-06-30,32.8,$2.02,16.24
2021-03-31,36.56,$1.88,19.45
2020-12-31,31.77,$1.70,18.69
2020-09-30,19.96,$1.59,12.55
2020-06-30,17.02,$1.27,13.4
2020-03-31,14.59,$1.22,11.96
2019-12-31,19.51,$1.26,15.48
2019-09-30,16.98,$1.31,12.96
2019-06-30,16.99,$5.70,2.98
2019-03-31,17.27,$5.80,2.98
2018-12-31,18.11,$5.93,3.05
2018-09-30,19.55,$6.47,3.02
2018-06-30,20.31,$2.04,9.95
2018-03-31,16.35,$1.93,8.47
2017-12-31,18.14,$1.05,17.27
2017-09-30,14.36,$0.10,143.59
2017-06-30,10.17,$-0.35,0.0
2017-03-31,5.96,$-0.92,0.0
2016-12-31,4.69,$-0.89,0.0
2016-09-30,4.21,$-1.70,0.0
2016-06-30,4.5,$-1.82,0.0
2016-03-31,4.63,$-2.39,0.0
2015-12-31,4.54,$-2.69,0.0
2015-09-30,3.95,$-2.51,0.0
2015-06-30,4.56,$-2.31,0.0
2015-03-31,6.45,$-1.71,0.0
2014-12-31,7.13,$-1.02,0.0
2014-09-30,6.58,$-0.87,0.0
2014-06-30,7.59,$-1.10,0.0
2014-03-31,7.87,$-1.09,0.0
2013-12-31,5.94,$-1.18,0.0
2013-09-30,4.89,$-1.37,0.0
2013-06-30,4.97,$-0.68,0.0
2013-03-31,5.23,$-0.58,0.0
2012-12-31,5.1,$-0.22,0.0
2012-09-30,6.08,$0.91,6.68
2012-06-30,6.09,$0.82,7.42
2012-03-31,8.68,$1.30,6.68
2011-12-31,8.45,$1.47,5.75
2011-09-30,6.55,$1.41,4.65
2011-06-30,7.7,$1.35,5.7
2011-03-31,6.96,$1.18,5.9
2010-12-31,7.26,$1.13,6.43
2010-09-30,6.33,$1.28,4.94
2010-06-30,7.76,$1.39,5.58
2010-03-31,11.2,$1.31,8.55
2009-12-31,8.09,$1.23,6.58
