Targa Resources PE Ratio Historical Data,Targa Resources PE Ratio Historical Data,Targa Resources PE Ratio Historical Data,Targa Resources PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,199.52,,34.76
2024-12-31,178.5,$5.74,31.1
2024-09-30,147.35,$5.53,26.65
2024-06-30,127.5,$4.75,26.84
2024-03-31,110.17,$4.86,22.67
2023-12-31,84.97,$3.67,23.15
2023-09-30,83.35,$3.82,21.82
2023-06-30,73.54,$3.69,19.93
2023-03-31,70.02,$3.86,18.14
2022-12-31,70.22,$3.89,18.05
2022-09-30,57.35,$1.06,54.1
2022-06-30,56.42,$0.88,64.11
2022-03-31,71.03,$-0.58,0.0
2021-12-31,48.87,$-0.11,0.0
2021-09-30,45.95,$1.30,35.35
2021-06-30,41.41,$0.80,51.76
2021-03-31,29.49,$0.86,34.3
2020-12-31,24.42,$-7.27,0.0
2020-09-30,12.91,$-7.85,0.0
2020-06-30,18.36,$-8.35,0.0
2020-03-31,6.27,$-8.74,0.0
2019-12-31,36.18,$-1.44,0.0
2019-09-30,34.78,$-1.42,0.0
2019-06-30,33.22,$-1.32,0.0
2019-03-31,34.38,$-0.79,0.0
2018-12-31,29.19,$-0.52,0.0
2018-09-30,44.81,$1.13,39.66
2018-06-30,38.69,$0.46,84.12
2018-03-31,33.75,$0.25,134.99
2017-12-31,36.45,$-0.49,0.0
2017-09-30,34.84,$-2.66,0.0
2017-06-30,32.66,$-1.98,0.0
2017-03-31,42.58,$-2.45,0.0
2016-12-31,39.23,$-1.74,0.0
2016-09-30,33.66,$-0.14,0.0
2016-06-30,28.2,$0.32,88.11
2016-03-31,19.54,$0.92,21.24
2015-12-31,17.02,$1.05,16.21
2015-09-30,31.87,$1.18,27.01
2015-06-30,54.66,$1.68,32.54
2015-03-31,58.23,$2.04,28.54
2014-12-31,63.88,$2.44,26.18
2014-09-30,81.55,$2.31,35.3
2014-06-30,83.16,$1.97,42.22
2014-03-31,58.79,$1.70,34.58
2013-12-31,51.87,$1.55,33.46
2013-09-30,42.61,$1.34,31.8
2013-06-30,37.28,$1.16,32.14
2013-03-31,39.09,$1.00,39.09
2012-12-31,30.16,$0.91,33.14
2012-09-30,28.5,$0.84,33.92
2012-06-30,23.96,$0.75,31.95
2012-03-31,25.3,$0.80,31.63
2011-12-31,22.47,$0.94,23.9
2011-09-30,16.28,$0.06,271.27
