Schneider National PE Ratio Historical Data,Schneider National PE Ratio Historical Data,Schneider National PE Ratio Historical Data,Schneider National PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,23.15,,35.62
2024-12-31,29.28,$0.65,45.05
2024-09-30,28.45,$0.62,45.89
2024-06-30,24.0,$0.65,36.93
2024-03-31,22.49,$0.88,25.56
2023-12-31,25.18,$1.33,18.93
2023-09-30,27.3,$1.80,15.16
2023-06-30,28.22,$2.30,12.27
2023-03-31,26.2,$2.60,10.08
2022-12-31,22.84,$2.57,8.89
2022-09-30,19.75,$2.70,7.32
2022-06-30,21.7,$2.62,8.28
2022-03-31,24.64,$2.49,9.89
2021-12-31,25.92,$2.28,11.37
2021-09-30,21.84,$1.96,11.14
2021-06-30,20.85,$1.59,13.11
2021-03-31,23.84,$1.25,19.07
2020-12-31,19.71,$1.19,16.56
2020-09-30,21.43,$1.08,19.84
2020-06-30,21.32,$0.94,22.69
2020-03-31,16.67,$0.87,19.16
2019-12-31,18.73,$0.83,22.57
2019-09-30,18.6,$0.99,18.78
2019-06-30,15.58,$1.28,12.17
2019-03-31,17.92,$1.46,12.27
2018-12-31,15.85,$1.52,10.43
2018-09-30,21.14,$2.64,8.01
2018-06-30,23.23,$2.45,9.48
2018-03-31,21.96,$2.35,9.34
