BeyondSpring PE Ratio Historical Data,BeyondSpring PE Ratio Historical Data,BeyondSpring PE Ratio Historical Data,BeyondSpring PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.67,,0.0
2024-06-30,2.4,$-1.20,0.0
2021-12-31,4.53,$-1.64,0.0
2021-09-30,15.76,$-1.92,0.0
2021-06-30,10.44,$-1.93,0.0
2021-03-31,11.07,$-1.90,0.0
2020-12-31,12.2,$-2.04,0.0
2020-09-30,13.31,$-2.04,0.0
2020-06-30,15.08,$-1.93,0.0
2020-03-31,12.81,$-1.79,0.0
2019-12-31,15.5,$-1.53,0.0
2019-09-30,18.1,$-1.36,0.0
2019-06-30,23.7,$-1.60,0.0
2019-03-31,16.02,$-1.82,0.0
2018-12-31,18.75,$-2.11,0.0
2018-09-30,25.01,$-2.44,0.0
2018-06-30,26.51,$-2.51,0.0
2018-03-31,25.62,$-2.36,0.0
2017-12-31,29.08,$-4.41,0.0
