Franklin Wireless PE Ratio Historical Data,Franklin Wireless PE Ratio Historical Data,Franklin Wireless PE Ratio Historical Data,Franklin Wireless PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,5.69,,0.0
2024-12-31,4.9,$-0.19,0.0
2024-09-30,4.58,$-0.27,0.0
2024-06-30,3.63,$-0.33,0.0
2024-03-31,2.99,$-0.31,0.0
2023-12-31,3.39,$-0.19,0.0
2023-09-30,3.2,$-0.16,0.0
2023-06-30,3.73,$-0.24,0.0
2023-03-31,4.98,$-0.17,0.0
2022-12-31,4.46,$-0.26,0.0
2022-09-30,2.92,$-0.33,0.0
2022-06-30,3.17,$-0.33,0.0
2022-03-31,3.99,$-0.27,0.0
2021-12-31,4.37,$0.13,33.62
2021-09-30,7.26,$0.81,8.96
2021-06-30,9.17,$1.55,5.92
2021-03-31,19.8,$1.90,10.42
2020-12-31,24.01,$1.66,14.46
