Gerdau S.A PE Ratio Historical Data,Gerdau S.A PE Ratio Historical Data,Gerdau S.A PE Ratio Historical Data,Gerdau S.A PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.03,,6.61
2024-09-30,3.45,$0.46,7.52
2024-06-30,3.23,$0.49,6.61
2024-03-31,3.55,$0.61,5.84
2023-12-31,3.88,$0.70,5.54
2023-09-30,3.74,$0.81,4.63
2023-06-30,4.02,$0.93,4.33
2023-03-31,3.72,$1.13,3.28
2022-12-31,3.95,$1.10,3.58
2022-09-30,3.0,$1.23,2.44
2022-06-30,2.77,$1.45,1.9
2022-03-31,4.06,$1.39,2.92
2021-12-31,3.08,$1.33,2.31
2021-09-30,2.89,$1.13,2.56
2021-06-30,3.35,$1.00,3.35
2021-03-31,3.0,$0.68,4.39
2020-12-31,2.61,$0.50,5.22
2020-09-30,2.04,$0.42,4.85
2020-06-30,1.63,$0.09,18.73
2020-03-31,1.05,$0.11,9.49
2019-12-31,2.7,$0.14,18.9
2019-09-30,1.73,$0.18,9.48
2019-06-30,2.13,$0.25,8.64
2019-03-31,2.12,$0.29,7.42
2018-12-31,2.05,$0.29,7.0
2018-09-30,2.3,$0.05,48.33
2018-06-30,1.92,$-0.02,0.0
2018-03-31,2.51,$-0.10,0.0
2017-12-31,2.0,$-0.05,0.0
2017-09-30,1.84,$-0.24,0.0
2017-06-30,1.63,$-0.25,0.0
2017-03-31,1.85,$-0.25,0.0
2016-12-31,1.68,$-0.36,0.0
2016-09-30,1.46,$-0.35,0.0
2016-06-30,0.97,$-0.63,0.0
2016-03-31,0.95,$-0.60,0.0
2015-12-31,0.64,$-0.56,0.0
2015-09-30,0.73,$-0.10,0.0
2015-06-30,1.26,$0.21,5.9
2015-03-31,1.67,$0.25,6.78
2014-12-31,1.84,$0.28,6.62
2014-09-30,2.47,$0.29,8.66
2014-06-30,3.02,$0.37,8.27
2014-03-31,3.27,$0.37,8.77
2013-12-31,3.98,$0.33,12.24
2013-09-30,3.76,$0.27,13.94
2013-06-30,2.87,$0.23,12.46
2013-03-31,3.86,$0.27,14.32
2012-12-31,4.5,$0.33,13.5
2012-09-30,4.74,$0.42,11.27
2012-06-30,4.35,$0.53,8.18
2012-03-31,4.76,$0.56,8.57
2011-12-31,3.84,$0.59,6.54
2011-09-30,3.48,$0.60,5.77
2011-06-30,5.1,$0.58,8.8
2011-03-31,6.03,$0.67,9.05
2010-12-31,6.74,$0.70,9.64
2010-09-30,6.52,$0.81,8.05
2010-06-30,6.27,$0.82,7.68
2010-03-31,7.72,$0.52,14.97
2009-12-31,8.02,$0.38,21.05
