Ralph Lauren PE Ratio Historical Data,Ralph Lauren PE Ratio Historical Data,Ralph Lauren PE Ratio Historical Data,Ralph Lauren PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,225.13,,20.54
2024-12-31,230.98,$10.96,21.07
2024-09-30,193.87,$10.49,18.48
2024-06-30,174.33,$10.37,16.81
2024-03-31,186.1,$9.72,19.15
2023-12-31,142.35,$8.82,16.14
2023-09-30,114.01,$7.83,14.56
2023-06-30,120.31,$7.82,15.39
2023-03-31,113.16,$7.59,14.91
2022-12-31,101.82,$7.45,13.67
2022-09-30,81.25,$7.18,11.32
2022-06-30,85.04,$7.57,11.23
2022-03-31,106.71,$8.02,13.31
2021-12-31,111.13,$6.67,16.66
2021-09-30,103.19,$5.35,19.29
2021-06-30,108.83,$2.25,48.37
2021-03-31,113.13,$-1.68,0.0
2020-12-31,95.29,$-4.05,0.0
2020-09-30,62.43,$-1.25,0.0
2020-06-30,66.61,$1.62,41.12
2020-03-31,61.39,$4.84,12.68
2019-12-31,106.69,$8.61,12.39
2019-09-30,86.39,$5.68,15.21
2019-06-30,102.03,$5.41,18.86
2019-03-31,115.78,$5.25,22.05
2018-12-31,91.93,$5.36,17.15
2018-09-30,121.47,$2.88,42.18
2018-06-30,110.52,$2.56,43.17
2018-03-31,97.8,$1.97,49.65
2017-12-31,90.3,$-1.01,0.0
2017-09-30,76.52,$0.97,78.88
2017-06-30,63.6,$-0.23,0.0
2017-03-31,69.86,$-1.22,0.0
2016-12-31,76.84,$1.75,43.91
2016-09-30,85.57,$2.31,37.04
2016-06-30,75.44,$3.62,20.84
2016-03-31,80.58,$4.62,17.44
2015-12-31,92.84,$5.54,16.76
2015-09-30,97.96,$6.41,15.28
2015-06-30,109.23,$6.80,16.06
2015-03-31,108.13,$7.87,13.74
2014-12-31,151.68,$8.14,18.63
2014-09-30,134.61,$8.30,16.22
2014-06-30,130.96,$8.28,15.82
2014-03-31,130.78,$8.42,15.53
2013-12-31,143.08,$8.11,17.64
2013-09-30,133.14,$7.85,16.96
2013-06-30,140.08,$7.91,17.71
2013-03-31,135.88,$8.00,16.98
2012-12-31,120.03,$7.62,15.75
2012-09-30,120.75,$7.09,17.03
2012-06-30,111.54,$7.26,15.36
2012-03-31,138.43,$7.13,19.41
2011-12-31,109.52,$6.88,15.92
2011-09-30,102.72,$6.82,15.06
2011-06-30,104.88,$6.45,16.26
2011-03-31,97.65,$5.76,16.95
2010-12-31,87.45,$6.15,14.22
2010-09-30,70.79,$5.53,12.8
2010-06-30,57.41,$5.19,11.06
2010-03-31,66.82,$4.74,14.1
2009-12-31,63.56,$4.05,15.69
