Kelly Services PE Ratio Historical Data,Kelly Services PE Ratio Historical Data,Kelly Services PE Ratio Historical Data,Kelly Services PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,13.66,,0.0
2024-12-31,13.94,$-0.06,0.0
2024-09-30,21.3,$1.15,18.52
2024-06-30,21.22,$1.31,16.2
2024-03-31,24.73,$1.39,17.79
2023-12-31,21.29,$0.98,21.72
2023-09-30,17.85,$0.65,27.46
2023-06-30,17.21,$0.04,430.18
2023-03-31,16.15,$-0.10,0.0
2022-12-31,16.37,$-1.62,0.0
2022-09-30,13.11,$0.20,65.55
2022-06-30,19.04,$1.50,12.7
2022-03-31,20.75,$2.04,10.17
2021-12-31,16.01,$3.91,4.09
2021-09-30,17.97,$2.70,6.66
2021-06-30,22.76,$2.25,10.12
2021-03-31,21.15,$2.69,7.86
2020-12-31,19.53,$-1.86,0.0
2020-09-30,16.18,$-2.02,0.0
2020-06-30,15.02,$-2.71,0.0
2020-03-31,12.05,$-1.63,0.0
2019-12-31,21.36,$2.84,7.52
2019-09-30,22.83,$1.79,12.75
2019-06-30,24.62,$2.90,8.49
2019-03-31,20.67,$0.38,54.4
2018-12-31,19.13,$0.56,34.17
2018-09-30,22.38,$1.63,13.73
2018-06-30,20.84,$1.37,15.21
2018-03-31,26.88,$2.24,12.0
2017-12-31,25.17,$1.81,13.91
2017-09-30,23.11,$1.91,12.1
2017-06-30,20.6,$3.39,6.08
2017-03-31,20.0,$3.15,6.35
2016-12-31,20.9,$3.13,6.68
2016-09-30,17.46,$3.46,5.05
2016-06-30,17.16,$1.63,10.53
2016-03-31,17.23,$1.58,10.91
2015-12-31,14.51,$1.39,10.44
2015-09-30,12.67,$0.95,13.33
2015-06-30,13.71,$0.75,18.27
2015-03-31,15.53,$0.64,24.26
2014-12-31,15.11,$0.61,24.77
2014-09-30,13.87,$0.62,22.36
2014-06-30,15.15,$1.08,14.02
2014-03-31,20.88,$1.27,16.44
2013-12-31,21.89,$1.54,14.22
2013-09-30,17.05,$1.32,12.92
2013-06-30,15.26,$1.26,12.11
2013-03-31,16.27,$1.40,11.62
2012-12-31,13.67,$1.32,10.36
2012-09-30,10.9,$1.73,6.3
2012-06-30,11.13,$1.82,6.11
2012-03-31,13.73,$1.92,7.15
2011-12-31,11.71,$1.69,6.93
2011-09-30,9.72,$1.44,6.75
2011-06-30,14.03,$1.18,11.89
2011-03-31,18.46,$0.79,23.36
2010-12-31,15.98,$0.70,22.83
2010-09-30,9.97,$0.08,124.66
2010-06-30,12.64,$-0.61,0.0
2010-03-31,14.16,$-2.61,0.0
2009-12-31,10.14,$-3.00,0.0
