Theravance Biopharma PE Ratio Historical Data,Theravance Biopharma PE Ratio Historical Data,Theravance Biopharma PE Ratio Historical Data,Theravance Biopharma PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,9.36,,0.0
2024-12-31,9.41,$-1.15,0.0
2024-09-30,8.06,$-1.01,0.0
2024-06-30,8.48,$-0.92,0.0
2024-03-31,8.97,$-0.86,0.0
2023-12-31,11.24,$-0.97,0.0
2023-09-30,8.63,$-0.95,0.0
2023-06-30,10.35,$11.36,0.91
2023-03-31,10.85,$11.53,0.94
2022-12-31,11.22,$11.54,0.97
2022-09-30,10.14,$11.26,0.9
2022-06-30,9.06,$-1.36,0.0
2022-03-31,9.56,$-2.05,0.0
2021-12-31,11.05,$-2.95,0.0
2021-09-30,7.4,$-3.44,0.0
2021-06-30,14.52,$-4.12,0.0
2021-03-31,20.41,$-4.32,0.0
2020-12-31,17.77,$-4.48,0.0
2020-09-30,14.79,$-4.73,0.0
2020-06-30,20.99,$-4.62,0.0
2020-03-31,23.11,$-4.34,0.0
2019-12-31,25.89,$-4.26,0.0
2019-09-30,19.48,$-4.01,0.0
2019-06-30,16.33,$-4.06,0.0
2019-03-31,22.67,$-4.10,0.0
2018-12-31,25.59,$-4.00,0.0
2018-09-30,32.67,$-4.72,0.0
2018-06-30,22.68,$-4.89,0.0
2018-03-31,24.25,$-5.40,0.0
2017-12-31,27.89,$-5.45,0.0
2017-09-30,34.24,$-5.17,0.0
2017-06-30,39.84,$-4.63,0.0
2017-03-31,36.82,$-4.42,0.0
2016-12-31,31.88,$-4.25,0.0
2016-09-30,36.24,$-4.12,0.0
2016-06-30,22.69,$-4.79,0.0
2016-03-31,18.8,$-5.15,0.0
2015-12-31,16.39,$-5.34,0.0
2015-09-30,10.99,$-6.13,0.0
2015-06-30,13.02,$-6.45,0.0
2015-03-31,17.35,$-6.86,0.0
