Xeris Biopharma Holdings PE Ratio Historical Data,Xeris Biopharma Holdings PE Ratio Historical Data,Xeris Biopharma Holdings PE Ratio Historical Data,Xeris Biopharma Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,5.43,,0.0
2024-12-31,3.39,$-0.38,0.0
2024-09-30,2.85,$-0.45,0.0
2024-06-30,2.25,$-0.43,0.0
2024-03-31,2.21,$-0.47,0.0
2023-12-31,2.35,$-0.45,0.0
2023-09-30,1.86,$-0.45,0.0
2023-06-30,2.62,$-0.52,0.0
2023-03-31,1.63,$-0.57,0.0
2022-12-31,1.33,$-0.70,0.0
2022-09-30,1.56,$-1.02,0.0
2022-06-30,1.54,$-1.25,0.0
2022-03-31,2.56,$-1.47,0.0
2021-12-31,2.93,$-1.52,0.0
2021-09-30,2.45,$-1.51,0.0
2021-06-30,4.07,$-1.47,0.0
2021-03-31,4.51,$-1.69,0.0
2020-12-31,4.92,$-2.28,0.0
2020-09-30,5.93,$-3.10,0.0
2020-06-30,2.66,$-3.97,0.0
2020-03-31,1.95,$-4.62,0.0
2019-12-31,7.05,$-4.80,0.0
2019-09-30,9.83,$-4.55,0.0
2019-06-30,11.44,$-4.04,0.0
2019-03-31,10.04,$-5.83,0.0
