One Liberty Properties PE Ratio Historical Data,One Liberty Properties PE Ratio Historical Data,One Liberty Properties PE Ratio Historical Data,One Liberty Properties PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,26.33,,18.81
2024-12-31,27.24,$1.40,19.46
2024-09-30,27.54,$1.62,17.0
2024-06-30,23.1,$1.51,15.3
2024-03-31,21.8,$1.36,16.03
2023-12-31,20.72,$1.38,15.01
2023-09-30,17.07,$1.09,15.66
2023-06-30,18.38,$1.31,14.03
2023-03-31,20.29,$1.80,11.27
2022-12-31,19.27,$1.99,9.68
2022-09-30,17.87,$1.87,9.55
2022-06-30,21.63,$1.81,11.95
2022-03-31,25.17,$2.14,11.76
2021-12-31,28.42,$1.83,15.53
2021-09-30,24.24,$1.69,14.34
2021-06-30,22.25,$2.08,10.7
2021-03-31,17.18,$1.06,16.21
2020-12-31,15.17,$1.32,11.49
2020-09-30,12.11,$1.39,8.71
2020-06-30,12.71,$0.97,13.11
2020-03-31,9.79,$1.07,9.15
2019-12-31,18.4,$0.87,21.15
2019-09-30,18.33,$0.63,29.1
2019-06-30,18.98,$0.90,21.09
2019-03-31,18.72,$0.93,20.13
2018-12-31,15.4,$1.05,14.66
2018-09-30,17.35,$1.28,13.56
2018-06-30,16.23,$1.14,14.24
2018-03-31,13.36,$1.45,9.21
2017-12-31,15.37,$1.29,11.91
2017-09-30,14.2,$1.31,10.84
2017-06-30,13.41,$1.17,11.47
2017-03-31,13.13,$1.35,9.73
2016-12-31,13.86,$1.39,9.97
2016-09-30,13.1,$1.46,8.97
2016-06-30,12.72,$1.44,8.83
2016-03-31,11.75,$0.94,12.5
2015-12-31,11.04,$1.23,8.98
2015-09-30,10.77,$1.63,6.61
2015-06-30,10.55,$1.57,6.72
2015-03-31,11.9,$1.64,7.26
2014-12-31,11.35,$1.36,8.35
2014-09-30,9.55,$0.87,10.98
2014-06-30,9.89,$0.91,10.87
2014-03-31,9.72,$1.12,8.68
2013-12-31,9.03,$1.14,7.92
2013-09-30,8.94,$1.25,7.15
2013-06-30,9.53,$2.28,4.18
2013-03-31,9.28,$2.17,4.28
2012-12-31,8.53,$2.17,3.93
2012-09-30,7.71,$2.05,3.76
2012-06-30,7.65,$1.01,7.58
2012-03-31,7.31,$0.97,7.53
2011-12-31,6.47,$0.96,6.74
2011-09-30,5.64,$0.89,6.34
2011-06-30,5.81,$0.95,6.12
2011-03-31,5.56,$0.81,6.86
2010-12-31,6.02,$0.81,7.43
2010-09-30,5.63,$1.48,3.8
2010-06-30,5.18,$1.54,3.36
2010-03-31,5.68,$1.74,3.26
2009-12-31,2.94,$1.78,1.65
