Cemex S.A.B De C.V PE Ratio Historical Data,Cemex S.A.B De C.V PE Ratio Historical Data,Cemex S.A.B De C.V PE Ratio Historical Data,Cemex S.A.B De C.V PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,6.03,,20.1
2024-09-30,6.08,$0.30,20.26
2024-06-30,6.35,$0.12,52.88
2024-03-31,8.92,$0.14,63.7
2023-12-31,7.67,$0.12,63.93
2023-09-30,6.43,$0.35,18.38
2023-06-30,7.01,$0.60,11.68
2023-03-31,5.47,$0.60,9.12
2022-12-31,4.01,$0.59,6.79
2022-09-30,3.4,$0.79,4.3
2022-06-30,3.88,$0.19,20.42
2022-03-31,5.24,$0.19,27.56
2021-12-31,6.71,$0.49,13.7
2021-09-30,7.1,$0.41,17.31
2021-06-30,8.31,$-0.36,0.0
2021-03-31,6.9,$-0.57,0.0
2020-12-31,5.12,$-0.98,0.0
2020-09-30,3.76,$-1.19,0.0
2020-06-30,2.85,$-0.03,0.0
2020-03-31,2.1,$0.10,20.99
2019-12-31,3.74,$0.10,37.42
2019-09-30,3.83,$0.24,15.96
2019-06-30,4.14,$0.21,19.73
2019-03-31,4.48,$0.36,12.44
2018-12-31,4.65,$0.35,13.3
2018-09-30,6.8,$0.30,22.66
2018-06-30,6.33,$0.39,16.24
2018-03-31,6.39,$0.34,18.8
2017-12-31,7.24,$0.55,13.15
2017-09-30,8.77,$0.77,11.46
2017-06-30,9.1,$0.78,11.71
2017-03-31,8.42,$0.73,11.52
2016-12-31,7.46,$0.53,14.13
2016-09-30,7.37,$0.49,15.19
2016-06-30,5.73,$0.26,22.41
2016-03-31,6.5,$0.18,36.99
2015-12-31,4.97,$0.05,99.05
2015-09-30,6.24,$-0.18,0.0
2015-06-30,8.18,$-0.22,0.0
2015-03-31,8.13,$-0.24,0.0
2014-12-31,8.75,$-0.36,0.0
2014-09-30,11.19,$-0.41,0.0
2014-06-30,11.36,$-0.45,0.0
2014-03-31,10.42,$-0.62,0.0
2013-12-31,9.76,$-0.61,0.0
2013-09-30,9.23,$-0.78,0.0
2013-06-30,8.73,$-0.82,0.0
2013-03-31,9.69,$-0.85,0.0
2012-12-31,7.83,$-0.66,0.0
2012-09-30,6.61,$-0.41,0.0
2012-06-30,5.34,$-0.89,0.0
2012-03-31,6.16,$-0.97,0.0
2011-12-31,4.11,$-1.17,0.0
2011-09-30,2.41,$-1.49,0.0
2011-06-30,6.56,$-0.94,0.0
2011-03-31,6.81,$-0.94,0.0
2010-12-31,7.86,$-0.99,0.0
2010-09-30,6.24,$-0.71,0.0
2010-06-30,7.1,$-0.54,0.0
2010-03-31,7.2,$-0.15,0.0
2009-12-31,8.34,$0.12,71.34
