Constellation Brands Inc PE Ratio Historical Data,Constellation Brands Inc PE Ratio Historical Data,Constellation Brands Inc PE Ratio Historical Data,Constellation Brands Inc PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,178.88,,48.09
2024-11-30,240.95,$3.72,64.77
2024-08-31,239.69,$3.09,77.57
2024-05-31,248.13,$13.42,18.49
2024-02-29,245.46,$9.38,26.17
2023-11-30,236.67,$8.45,28.01
2023-08-31,255.46,$8.21,31.12
2023-05-31,237.43,$-1.83,0.0
2023-02-28,217.74,$-0.51,0.0
2022-11-30,249.63,$0.35,713.23
2022-08-31,237.88,$0.31,767.36
2022-05-31,236.54,$6.62,35.73
2022-02-28,207.12,$-0.18,0.0
2021-11-30,215.76,$-0.30,0.0
2021-08-31,201.48,$3.77,53.44
2021-05-31,227.95,$6.38,35.73
2021-02-28,202.99,$10.18,19.94
2020-11-30,194.49,$10.27,18.94
2020-08-31,173.6,$5.57,31.17
2020-05-31,161.8,$0.18,898.91
2020-02-29,160.77,$-0.18,0.0
2019-11-30,172.88,$4.15,41.66
2019-08-31,189.13,$3.86,49.0
2019-05-31,163.3,$12.50,13.06
2019-02-28,155.98,$17.57,8.88
2018-11-30,179.74,$15.84,11.35
2018-08-31,190.45,$16.72,11.39
2018-05-31,203.36,$13.33,15.26
2018-02-28,195.78,$11.56,16.94
2017-11-30,197.21,$9.18,21.48
2017-08-31,180.92,$8.72,20.75
2017-05-31,164.8,$7.99,20.63
2017-02-28,142.79,$7.54,18.94
2016-11-30,135.54,$6.47,20.95
2016-08-31,146.75,$5.82,25.21
2016-05-31,136.66,$5.56,24.58
2016-02-29,125.89,$5.19,24.26
2015-11-30,124.57,$5.06,24.62
2015-08-31,113.42,$4.83,23.48
2015-05-31,104.2,$4.32,24.12
2015-02-28,101.12,$4.17,24.25
2014-11-30,84.97,$3.90,21.79
2014-08-31,76.77,$3.87,19.84
2014-05-31,74.16,$10.63,6.98
2014-02-28,71.43,$9.87,7.24
2013-11-30,62.06,$9.51,6.53
2013-08-31,47.82,$9.02,5.3
2013-05-31,46.73,$1.95,23.96
2013-02-28,39.0,$2.06,18.93
2012-11-30,31.63,$2.14,14.78
2012-08-31,29.04,$2.08,13.96
2012-05-31,17.0,$2.17,7.84
2012-02-29,19.25,$2.14,9.0
2011-11-30,17.16,$2.95,5.82
2011-08-31,17.43,$3.09,5.64
2011-05-31,19.36,$2.76,7.01
2011-02-28,17.91,$2.63,6.81
2010-11-30,18.17,$1.08,16.82
2010-08-31,14.69,$0.62,23.69
2010-05-31,14.69,$0.64,22.95
2010-02-28,13.26,$0.45,29.46
2009-11-30,15.08,$-1.20,0.0
