Park Aerospace PE Ratio Historical Data,Park Aerospace PE Ratio Historical Data,Park Aerospace PE Ratio Historical Data,Park Aerospace PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,13.69,,38.03
2024-11-30,15.31,$0.36,42.53
2024-08-31,13.38,$0.34,39.35
2024-05-31,13.68,$0.33,41.45
2024-02-29,14.82,$0.37,40.05
2023-11-30,14.56,$0.47,30.97
2023-08-31,13.05,$0.52,25.1
2023-05-31,12.43,$0.52,23.91
2023-02-28,14.4,$0.52,27.69
2022-11-30,11.51,$0.39,29.52
2022-08-31,9.92,$0.36,27.57
2022-05-31,10.42,$0.37,28.16
2022-02-28,11.78,$0.41,28.72
2021-11-30,10.87,$0.36,30.19
2021-08-31,12.2,$0.33,36.96
2021-05-31,12.81,$0.28,45.76
2021-02-28,11.46,$0.25,45.82
2020-11-30,10.42,$0.32,32.57
2020-08-31,9.0,$0.39,23.07
2020-05-31,9.75,$0.44,22.16
2020-02-29,11.09,$0.47,23.6
2019-11-30,12.19,$5.42,2.25
2019-08-31,12.56,$5.48,2.29
2019-05-31,11.04,$5.51,2.0
2019-02-28,12.77,$5.54,2.3
2018-11-30,10.59,$1.35,7.84
2018-08-31,12.65,$1.21,10.45
2018-05-31,12.17,$1.11,10.97
2018-02-28,9.96,$1.02,9.77
2017-11-30,9.6,$0.26,36.91
2017-08-31,9.08,$0.31,29.28
2017-05-31,8.4,$0.38,22.11
2017-02-28,9.45,$0.46,20.55
2016-11-30,8.91,$0.57,15.64
2016-08-31,8.09,$0.68,11.89
2016-05-31,7.94,$0.81,9.81
2016-02-29,6.87,$0.89,7.71
2015-11-30,8.39,$0.89,9.43
2015-08-31,8.39,$0.79,10.62
2015-05-31,10.18,$0.80,12.73
2015-02-28,10.24,$0.96,10.67
2014-11-30,10.82,$-2.15,0.0
2014-08-31,12.33,$-2.02,0.0
2014-05-31,11.72,$-1.87,0.0
2014-02-28,12.39,$-2.02,0.0
2013-11-30,11.79,$1.06,11.13
2013-08-31,10.54,$1.06,9.94
2013-05-31,9.51,$0.83,11.46
2013-02-28,9.93,$0.83,11.96
2012-11-30,8.68,$0.78,11.13
2012-08-31,9.21,$0.81,11.38
2012-05-31,8.29,$1.02,8.13
2012-02-29,10.0,$1.13,8.85
2011-11-30,9.59,$1.38,6.95
2011-08-31,8.62,$1.36,6.34
2011-05-31,10.45,$1.45,7.2
2011-02-28,11.0,$1.58,6.96
2010-11-30,9.14,$1.68,5.44
2010-08-31,7.94,$1.79,4.44
2010-05-31,8.56,$1.56,5.49
2010-02-28,8.96,$1.23,7.29
2009-11-30,7.77,$1.69,4.6
