Entrada Therapeutics PE Ratio Historical Data,Entrada Therapeutics PE Ratio Historical Data,Entrada Therapeutics PE Ratio Historical Data,Entrada Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,10.41,,5.45
2024-12-31,17.29,$1.91,9.05
2024-09-30,15.98,$1.59,10.05
2024-06-30,14.25,$2.96,4.81
2024-03-31,14.17,$0.63,22.49
2023-12-31,15.09,$-0.26,0.0
2023-09-30,15.8,$-0.76,0.0
2023-06-30,15.14,$-2.58,0.0
2023-03-31,14.5,$-2.54,0.0
2022-12-31,13.52,$-3.02,0.0
2022-09-30,15.76,$-3.12,0.0
