Entravision Communications PE Ratio Historical Data,Entravision Communications PE Ratio Historical Data,Entravision Communications PE Ratio Historical Data,Entravision Communications PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.04,,0.0
2024-12-31,2.35,$-1.65,0.0
2024-09-30,2.03,$-1.24,0.0
2024-06-30,1.94,$-1.08,0.0
2024-03-31,1.53,$-0.75,0.0
2023-12-31,3.75,$-0.18,0.0
2023-09-30,3.25,$0.01,0.0
2023-06-30,3.85,$0.09,42.83
2023-03-31,5.25,$0.21,25.01
2022-12-31,4.13,$0.21,19.68
2022-09-30,3.4,$0.27,12.6
2022-06-30,3.89,$0.30,12.96
2022-03-31,5.44,$0.29,18.75
2021-12-31,5.73,$0.33,17.36
2021-09-30,5.97,$0.53,11.27
2021-06-30,5.6,$0.50,11.2
2021-03-31,3.37,$0.44,7.66
2020-12-31,2.28,$-0.04,0.0
2020-09-30,1.25,$-0.19,0.0
2020-06-30,1.16,$-0.44,0.0
2020-03-31,1.62,$-0.66,0.0
2019-12-31,2.04,$-0.22,0.0
2019-09-30,2.42,$-0.23,0.0
2019-06-30,2.34,$-0.07,0.0
2019-03-31,2.39,$0.17,14.07
2018-12-31,2.12,$0.13,16.3
2018-09-30,3.51,$0.19,18.45
2018-06-30,3.54,$1.88,1.88
2018-03-31,3.29,$1.87,1.76
2017-12-31,4.96,$1.92,2.58
2017-09-30,3.93,$1.86,2.11
2017-06-30,4.51,$0.21,21.48
2017-03-31,4.22,$0.23,18.33
2016-12-31,4.74,$0.22,21.53
2016-09-30,5.14,$0.20,25.69
2016-06-30,4.51,$0.24,18.77
2016-03-31,4.97,$0.24,20.69
2015-12-31,5.12,$0.28,18.3
2015-09-30,4.4,$0.29,15.16
2015-06-30,5.43,$0.28,19.39
2015-03-31,4.16,$0.32,13.01
2014-12-31,4.24,$0.31,13.69
2014-09-30,2.59,$0.35,7.39
2014-06-30,4.04,$0.02,201.92
2014-03-31,4.33,$-0.02,0.0
2013-12-31,3.92,$-0.08,0.0
2013-09-30,3.72,$-0.10,0.0
2013-06-30,3.88,$0.22,17.63
2013-03-31,2.01,$0.18,11.18
2012-12-31,1.05,$0.15,6.98
2012-09-30,0.78,$0.04,19.55
2012-06-30,0.71,$-0.06,0.0
2012-03-31,1.0,$-0.08,0.0
2011-12-31,0.91,$-0.09,0.0
2011-09-30,0.58,$-0.42,0.0
2011-06-30,1.04,$-0.33,0.0
2011-03-31,1.53,$-0.25,0.0
2010-12-31,1.45,$-0.23,0.0
2010-09-30,1.12,$-0.50,0.0
2010-06-30,1.19,$-0.56,0.0
2010-03-31,1.56,$-0.66,0.0
2009-12-31,1.92,$-0.80,0.0
