Coca-Cola Consolidated PE Ratio Historical Data,Coca-Cola Consolidated PE Ratio Historical Data,Coca-Cola Consolidated PE Ratio Historical Data,Coca-Cola Consolidated PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1313.61,,18.81
2024-12-31,1259.99,$69.85,18.04
2024-09-30,1313.77,$57.46,22.86
2024-06-30,1082.35,$54.08,20.01
2024-03-31,843.84,$48.56,17.38
2023-12-31,907.75,$43.47,20.88
2023-09-30,621.68,$48.00,12.95
2023-06-30,620.91,$50.83,12.22
2023-03-31,521.91,$48.40,10.78
2022-12-31,496.3,$45.77,10.84
2022-09-30,398.61,$35.22,11.32
2022-06-30,545.66,$29.91,18.24
2022-03-31,480.52,$24.44,19.66
2021-12-31,598.58,$20.17,29.68
2021-09-30,380.81,$25.16,15.14
2021-06-30,388.26,$23.35,16.63
2021-03-31,278.6,$22.42,12.43
2020-12-31,256.63,$18.30,14.02
2020-09-30,231.74,$10.17,22.79
2020-06-30,220.43,$6.04,36.5
2020-03-31,200.34,$3.49,57.4
2019-12-31,272.65,$1.21,225.33
2019-09-30,291.41,$-0.59,0.0
2019-06-30,286.73,$0.72,398.24
2019-03-31,275.58,$-1.34,0.0
2018-12-31,169.63,$-2.13,0.0
2018-09-30,174.06,$9.06,19.21
2018-06-30,128.8,$8.22,15.67
2018-03-31,164.34,$9.32,17.63
2017-12-31,204.63,$10.30,19.87
2017-09-30,204.87,$4.29,47.75
2017-06-30,217.1,$4.91,44.22
2017-03-31,195.19,$5.90,33.08
2016-12-31,169.2,$5.36,31.57
2016-09-30,139.92,$3.52,39.75
2016-06-30,139.03,$3.79,36.68
2016-03-31,150.38,$5.01,30.02
2015-12-31,171.54,$6.33,27.1
2015-09-30,181.55,$6.19,29.33
2015-06-30,141.6,$4.75,29.81
2015-03-31,105.73,$3.34,31.66
2014-12-31,82.12,$3.36,24.44
2014-09-30,69.42,$2.54,27.33
2014-06-30,68.29,$2.98,22.91
2014-03-31,78.53,$2.71,28.98
2013-12-31,67.39,$2.97,22.69
2013-09-30,57.38,$3.67,15.63
2013-06-30,55.86,$3.02,18.5
2013-03-31,54.88,$2.97,18.48
2012-12-31,60.27,$2.94,20.5
2012-09-30,61.49,$2.94,20.92
2012-06-30,57.82,$2.91,19.87
2012-03-31,56.21,$2.95,19.06
2011-12-31,52.25,$3.10,16.85
2011-09-30,49.28,$3.31,14.89
2011-06-30,59.89,$3.93,15.24
2011-03-31,58.95,$4.04,14.59
2010-12-31,48.79,$3.91,12.48
2010-09-30,46.25,$3.72,12.43
2010-06-30,41.67,$3.71,11.23
2010-03-31,50.78,$3.72,13.65
2009-12-31,46.53,$4.14,11.24
