Hershey PE Ratio Historical Data,Hershey PE Ratio Historical Data,Hershey PE Ratio Historical Data,Hershey PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,164.47,,15.09
2024-12-31,169.35,$10.90,15.54
2024-09-30,190.25,$8.68,21.92
2024-06-30,181.08,$9.00,20.12
2024-03-31,190.34,$10.09,18.86
2023-12-31,181.15,$9.05,20.02
2023-09-30,194.4,$9.27,20.97
2023-06-30,241.29,$8.69,27.77
2023-03-31,244.89,$8.24,29.72
2022-12-31,221.93,$7.96,27.88
2022-09-30,210.31,$7.66,27.46
2022-06-30,204.33,$7.86,26.0
2022-03-31,204.82,$7.78,26.33
2021-12-31,182.11,$7.11,25.61
2021-09-30,158.52,$6.88,23.04
2021-06-30,162.33,$6.88,23.59
2021-03-31,146.72,$6.72,21.83
2020-12-31,140.57,$6.11,23.01
2020-09-30,131.57,$5.70,23.08
2020-06-30,118.33,$5.10,23.2
2020-03-31,120.23,$5.29,22.73
2019-12-31,132.73,$5.45,24.35
2019-09-30,139.23,$6.07,22.94
2019-06-30,119.82,$5.78,20.73
2019-03-31,102.09,$5.38,18.98
2018-12-31,94.67,$5.58,16.97
2018-09-30,89.49,$4.83,18.53
2018-06-30,81.05,$4.86,16.68
2018-03-31,85.58,$4.73,18.09
2017-12-31,97.5,$3.66,26.64
2017-09-30,93.21,$3.36,27.74
2017-06-30,91.12,$3.14,29.02
2017-03-31,92.21,$2.87,32.13
2016-12-31,86.8,$3.35,25.91
2016-09-30,79.73,$3.78,21.09
2016-06-30,94.13,$3.42,27.52
2016-03-31,75.89,$2.27,33.43
2015-12-31,73.1,$2.31,31.64
2015-09-30,74.72,$2.24,33.36
2015-06-30,71.78,$2.54,28.26
2015-03-31,81.08,$3.76,21.56
2014-12-31,83.08,$3.77,22.04
2014-09-30,75.87,$3.68,20.62
2014-06-30,76.96,$3.71,20.74
2014-03-31,82.11,$3.66,22.43
2013-12-31,76.13,$3.61,21.09
2013-09-30,72.06,$3.45,20.89
2013-06-30,69.19,$3.19,21.69
2013-03-31,67.52,$3.08,21.92
2012-12-31,55.42,$2.89,19.18
2012-09-30,54.08,$2.85,18.98
2012-06-30,54.67,$2.94,18.59
2012-03-31,46.28,$2.91,15.9
2011-12-31,46.33,$2.74,16.91
2011-09-30,44.16,$2.71,16.29
2011-06-30,42.12,$2.63,16.02
2011-03-31,40.02,$2.27,17.63
2010-12-31,34.48,$2.21,15.6
2010-09-30,34.57,$2.17,15.93
2010-06-30,34.58,$2.10,16.47
2010-03-31,30.68,$2.21,13.88
2009-12-31,25.44,$1.90,13.39
