Ideal Power PE Ratio Historical Data,Ideal Power PE Ratio Historical Data,Ideal Power PE Ratio Historical Data,Ideal Power PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4.98,,0.0
2024-09-30,8.2,$-1.40,0.0
2024-06-30,7.06,$-1.53,0.0
2024-03-31,8.9,$-1.59,0.0
2023-12-31,7.77,$-1.61,0.0
2023-09-30,9.7,$-1.53,0.0
2023-06-30,11.8,$-1.37,0.0
2023-03-31,10.45,$-1.27,0.0
2022-12-31,10.7,$-1.17,0.0
2022-09-30,10.35,$-1.09,0.0
2022-06-30,12.24,$-1.01,0.0
2022-03-31,8.8,$-0.93,0.0
2021-12-31,12.06,$-0.79,0.0
2021-09-30,15.22,$-0.82,0.0
2021-06-30,12.71,$-1.90,0.0
2021-03-31,13.24,$-1.99,0.0
2020-12-31,8.17,$-2.13,0.0
2020-09-30,6.2,$-2.24,0.0
2020-06-30,6.53,$-1.51,0.0
2020-03-31,1.94,$-2.13,0.0
2019-12-31,2.3,$-2.52,0.0
2019-09-30,2.79,$-2.15,0.0
2019-06-30,3.1,$-3.20,0.0
2019-03-31,3.5,$-3.50,0.0
2018-12-31,2.48,$-4.30,0.0
2018-09-30,6.37,$-5.60,0.0
2018-06-30,10.6,$-5.60,0.0
2018-03-31,11.4,$-6.70,0.0
2017-12-31,14.2,$-8.00,0.0
2017-09-30,25.9,$-9.60,0.0
2017-06-30,21.0,$-11.10,0.0
2017-03-31,32.5,$-11.40,0.0
2016-12-31,33.0,$-11.50,0.0
2016-09-30,51.7,$-11.80,0.0
2016-06-30,49.3,$-11.80,0.0
2016-03-31,45.2,$-12.00,0.0
2015-12-31,80.0,$-12.20,0.0
2015-09-30,66.1,$-11.80,0.0
2015-06-30,83.9,$-11.30,0.0
2015-03-31,94.4,$-10.80,0.0
2014-12-31,72.6,$-9.70,0.0
2014-09-30,75.5,$-17.60,0.0
