Hudson Pacific Properties PE Ratio Historical Data,Hudson Pacific Properties PE Ratio Historical Data,Hudson Pacific Properties PE Ratio Historical Data,Hudson Pacific Properties PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.0,,0.0
2024-12-31,3.03,$-2.57,0.0
2024-09-30,4.78,$-2.09,0.0
2024-06-30,4.81,$-1.67,0.0
2024-03-31,6.38,$-1.60,0.0
2023-12-31,9.14,$-1.37,0.0
2023-09-30,6.53,$-0.76,0.0
2023-06-30,4.14,$-0.61,0.0
2023-03-31,6.37,$-0.40,0.0
2022-12-31,8.95,$-0.39,0.0
2022-09-30,9.83,$-0.25,0.0
2022-06-30,13.07,$-0.19,0.0
2022-03-31,24.05,$-0.12,0.0
2021-12-31,21.22,$0.04,530.42
2021-09-30,22.32,$-0.06,0.0
2021-06-30,23.42,$-0.04,0.0
2021-03-31,22.64,$-0.04,0.0
2020-12-31,19.87,$0.00,0.0
2020-09-30,17.95,$0.14,128.23
2020-06-30,20.38,$0.56,36.39
2020-03-31,20.35,$0.60,33.91
2019-12-31,29.83,$0.27,110.47
2019-09-30,26.33,$0.28,94.02
2019-06-30,25.98,$0.01,2598.4
2019-03-31,26.69,$0.05,533.73
2018-12-31,22.37,$0.62,36.08
2018-09-30,24.98,$0.73,34.21
2018-06-30,26.84,$0.69,38.9
2018-03-31,24.47,$0.61,40.11
2017-12-31,25.56,$0.44,58.1
2017-09-30,24.85,$0.41,60.6
2017-06-30,25.14,$0.36,69.82
2017-03-31,25.29,$0.35,72.26
2016-12-31,25.21,$0.24,105.04
2016-09-30,23.68,$-0.01,0.0
2016-06-30,20.89,$-0.07,0.0
2016-03-31,20.57,$-0.36,0.0
2015-12-31,19.87,$-0.14,0.0
2015-09-30,20.19,$-0.10,0.0
2015-06-30,19.81,$0.05,396.19
2015-03-31,23.08,$0.38,60.73
2014-12-31,20.82,$0.15,138.8
2014-09-30,17.01,$0.18,94.49
2014-06-30,17.39,$-0.03,0.0
2014-03-31,15.75,$-0.19,0.0
2013-12-31,14.85,$-0.27,0.0
2013-09-30,13.14,$-0.40,0.0
2013-06-30,14.28,$-0.37,0.0
2013-03-31,14.52,$-0.39,0.0
2012-12-31,13.98,$-0.41,0.0
2012-09-30,12.2,$-0.38,0.0
2012-06-30,11.41,$-0.39,0.0
2012-03-31,9.84,$-0.33,0.0
2011-12-31,9.13,$-0.36,0.0
2011-09-30,7.43,$-0.31,0.0
2011-06-30,9.83,$-0.24,0.0
2011-03-31,9.23,$-0.17,0.0
