Boston Omaha PE Ratio Historical Data,Boston Omaha PE Ratio Historical Data,Boston Omaha PE Ratio Historical Data,Boston Omaha PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,14.0,,0.0
2024-09-30,14.87,$-0.33,0.0
2024-06-30,13.46,$-0.33,0.0
2024-03-31,15.46,$-0.21,0.0
2023-12-31,15.73,$-0.23,0.0
2023-09-30,16.39,$0.02,819.5
2023-06-30,18.82,$0.02,941.0
2023-03-31,23.67,$-0.42,0.0
2022-12-31,26.5,$0.24,110.42
2022-09-30,23.04,$-0.39,0.0
2022-06-30,20.65,$-1.23,0.0
2022-03-31,25.37,$-0.55,0.0
2021-12-31,28.73,$1.99,14.44
2021-09-30,38.78,$3.22,12.04
2021-06-30,31.71,$4.24,7.48
2021-03-31,29.56,$4.09,7.23
2020-12-31,27.65,$-0.05,0.0
2020-09-30,16.0,$-0.60,0.0
2020-06-30,16.0,$-0.70,0.0
2020-03-31,18.11,$-0.93,0.0
2019-12-31,21.04,$-0.06,0.0
2019-09-30,19.83,$-0.41,0.0
2019-06-30,23.15,$-0.53,0.0
2019-03-31,24.94,$-0.52,0.0
2018-12-31,23.4,$-0.47,0.0
2018-09-30,29.9,$-0.49,0.0
2018-06-30,21.07,$-0.51,0.0
2018-03-31,21.86,$-0.61,0.0
