Strawberry Fields REIT PE Ratio Historical Data,Strawberry Fields REIT PE Ratio Historical Data,Strawberry Fields REIT PE Ratio Historical Data,Strawberry Fields REIT PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,12.1,,21.23
2024-12-31,10.54,$0.57,18.49
2024-09-30,12.69,$0.51,24.88
2024-06-30,11.41,$0.46,24.8
2024-03-31,7.95,$0.43,18.49
2023-12-31,7.72,$0.39,19.78
