Kingsway Financial Services PE Ratio Historical Data,Kingsway Financial Services PE Ratio Historical Data,Kingsway Financial Services PE Ratio Historical Data,Kingsway Financial Services PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,7.41,,0.0
2024-09-30,8.28,$-0.07,0.0
2024-06-30,8.24,$-0.21,0.0
2024-03-31,8.34,$-0.19,0.0
2023-12-31,8.4,$0.95,8.84
2023-09-30,7.55,$0.95,7.95
2023-06-30,8.15,$2.48,3.29
2023-03-31,8.81,$2.42,3.64
2022-12-31,7.93,$1.25,6.34
2022-09-30,6.94,$1.31,5.3
2022-06-30,5.7,$-0.23,0.0
2022-03-31,5.5,$-0.14,0.0
2021-12-31,5.48,0,0.0
2021-09-30,5.36,$-0.06,0.0
2021-06-30,5.0,$-0.08,0.0
2021-03-31,4.65,$-0.13,0.0
2020-12-31,4.7,$-0.22,0.0
2020-09-30,2.95,$-0.22,0.0
2020-06-30,2.24,$-0.35,0.0
2020-03-31,1.98,$-0.31,0.0
2019-12-31,1.86,$-0.11,0.0
2019-09-30,2.21,$-0.63,0.0
2019-06-30,2.45,$-0.63,0.0
2019-03-31,3.1,$-0.99,0.0
2018-12-31,2.87,$-1.22,0.0
2018-09-30,2.8,$-0.90,0.0
2018-06-30,2.75,$-0.77,0.0
2018-03-31,4.0,$-0.74,0.0
2017-12-31,5.05,$-0.72,0.0
2017-09-30,6.1,$-0.47,0.0
2017-06-30,6.05,$-0.34,0.0
2017-03-31,5.8,0,0.0
2016-12-31,6.25,0,0.0
2016-09-30,5.74,$-0.17,0.0
2016-06-30,5.37,$-0.28,0.0
2016-03-31,4.75,$-0.16,0.0
2015-12-31,4.57,$0.02,228.5
2015-09-30,4.62,$0.17,27.16
2015-06-30,5.97,$-0.19,0.0
2015-03-31,5.75,$-0.58,0.0
2014-12-31,5.55,$-0.78,0.0
2014-09-30,6.28,$-0.81,0.0
2014-06-30,6.27,$-0.28,0.0
2014-03-31,4.06,$-0.72,0.0
2013-12-31,3.9,$-1.94,0.0
2013-09-30,2.5,$-2.93,0.0
2013-06-30,2.75,$-4.57,0.0
2013-03-31,2.79,$-4.42,0.0
2012-12-31,2.32,$-4.06,0.0
2012-09-30,1.11,$-3.87,0.0
2012-06-30,1.01,$-1.87,0.0
2012-03-31,0.8,$-1.64,0.0
2011-12-31,0.35,$-2.08,0.0
2011-09-30,0.29,$-4.84,0.0
2011-06-30,0.27,$-5.12,0.0
2011-03-31,0.18,$-6.20,0.0
2010-12-31,0.21,$-2.96,0.0
2010-09-30,0.18,$-5.24,0.0
2010-06-30,0.16,$-14.20,0.0
2010-03-31,0.12,$-15.56,0.0
2009-12-31,0.11,$-21.64,0.0
