Schlumberger PE Ratio Historical Data,Schlumberger PE Ratio Historical Data,Schlumberger PE Ratio Historical Data,Schlumberger PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,41.28,,13.27
2024-12-31,38.34,$3.11,12.33
2024-09-30,41.68,$3.11,13.4
2024-06-30,46.57,$3.06,15.22
2024-03-31,54.1,$3.01,17.97
2023-12-31,51.07,$2.92,17.49
2023-09-30,56.94,$2.89,19.7
2023-06-30,47.77,$2.74,17.44
2023-03-31,47.5,$2.69,17.66
2022-12-31,51.48,$2.40,21.45
2022-09-30,34.45,$2.08,16.56
2022-06-30,34.16,$1.84,18.56
2022-03-31,39.31,$1.47,26.74
2021-12-31,28.41,$1.32,21.52
2021-09-30,27.99,$1.17,23.92
2021-06-30,30.1,$0.72,41.8
2021-03-31,25.47,$-2.05,0.0
2020-12-31,20.35,$-7.58,0.0
2020-09-30,14.42,$-7.61,0.0
2020-06-30,16.93,$-15.77,0.0
2020-03-31,12.34,$-12.95,0.0
2019-12-31,36.24,$-7.33,0.0
2019-09-30,30.37,$-7.18,0.0
2019-06-30,34.77,$1.50,23.18
2019-03-31,37.59,$1.46,25.75
2018-12-31,30.78,$1.54,19.99
2018-09-30,51.97,$-0.48,0.0
2018-06-30,56.73,$-0.55,0.0
2018-03-31,54.43,$-0.91,0.0
2017-12-31,56.22,$-1.09,0.0
2017-09-30,57.75,$0.39,148.07
2017-06-30,54.07,$0.13,415.96
2017-03-31,63.68,$-1.38,0.0
2016-12-31,68.04,$-1.18,0.0
2016-09-30,63.36,$-1.84,0.0
2016-06-30,63.31,$-1.19,0.0
2016-03-31,58.66,$1.25,46.93
2015-12-31,55.09,$1.61,34.22
2015-09-30,54.12,$2.65,20.42
2015-06-30,67.2,$3.36,20.0
2015-03-31,64.7,$3.69,17.53
2014-12-31,65.84,$4.14,15.9
2014-09-30,78.02,$5.17,15.09
2014-06-30,90.17,$4.97,18.14
2014-03-31,74.25,$5.33,13.93
2013-12-31,68.32,$5.06,13.5
2013-09-30,66.76,$4.82,13.85
2013-06-30,53.93,$4.60,11.72
2013-03-31,56.12,$4.08,13.76
2012-12-31,51.73,$4.11,12.59
2012-09-30,53.78,$4.14,12.99
2012-06-30,48.09,$4.03,11.93
2012-03-31,51.58,$3.96,13.03
2011-12-31,50.21,$3.68,13.64
2011-09-30,43.75,$3.39,12.91
2011-06-30,63.08,$3.81,16.56
2011-03-31,67.89,$3.51,19.34
2010-12-31,60.62,$3.38,17.93
2010-09-30,44.61,$3.27,13.64
2010-06-30,39.91,$2.54,15.71
2010-03-31,45.6,$2.37,19.24
2009-12-31,46.62,$2.59,18.0
