Viant Technology PE Ratio Historical Data,Viant Technology PE Ratio Historical Data,Viant Technology PE Ratio Historical Data,Viant Technology PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,12.21,,101.75
2024-12-31,18.99,$0.12,158.25
2024-09-30,11.07,$0.06,184.5
2024-06-30,9.87,$-0.05,0.0
2024-03-31,10.66,$-0.12,0.0
2023-12-31,6.89,$-0.23,0.0
2023-09-30,5.6,$-0.42,0.0
2023-06-30,4.61,$-0.61,0.0
2023-03-31,4.35,$-0.78,0.0
2022-12-31,4.02,$-0.84,0.0
2022-09-30,4.21,$-0.58,0.0
2022-06-30,5.08,$-0.56,0.0
2022-03-31,6.55,$-0.64,0.0
2021-12-31,9.71,$-0.68,0.0
