Oppenheimer Holdings PE Ratio Historical Data,Oppenheimer Holdings PE Ratio Historical Data,Oppenheimer Holdings PE Ratio Historical Data,Oppenheimer Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,61.18,,9.6
2024-12-31,64.09,$6.37,10.06
2024-09-30,51.01,$6.43,7.93
2024-06-30,47.6,$5.48,8.69
2024-03-31,39.52,$3.71,10.65
2023-12-31,40.75,$2.56,15.92
2023-09-30,37.63,$3.45,10.91
2023-06-30,39.31,$2.61,15.06
2023-03-31,38.15,$3.14,12.15
2022-12-31,41.11,$2.61,15.75
2022-09-30,29.97,$5.35,5.6
2022-06-30,31.83,$6.90,4.61
2022-03-31,41.79,$9.50,4.4
2021-12-31,44.31,$11.72,3.78
2021-09-30,42.2,$13.28,3.18
2021-06-30,47.21,$12.55,3.76
2021-03-31,37.1,$11.61,3.2
2020-12-31,29.02,$9.28,3.13
2020-09-30,19.89,$4.95,4.02
2020-06-30,19.32,$4.05,4.77
2020-03-31,17.41,$3.60,4.84
2019-12-31,24.1,$3.83,6.29
2019-09-30,26.25,$2.58,10.18
2019-06-30,23.67,$2.65,8.93
2019-03-31,22.53,$2.39,9.43
2018-12-31,22.04,$2.06,10.7
2018-09-30,27.16,$3.01,9.02
2018-06-30,23.99,$3.22,7.45
2018-03-31,21.98,$2.49,8.83
2017-12-31,22.78,$1.65,13.8
2017-09-30,14.68,$-0.02,0.0
2017-06-30,13.78,$-0.64,0.0
2017-03-31,14.27,$-0.15,0.0
2016-12-31,15.42,$-0.08,0.0
2016-09-30,11.76,$-0.18,0.0
2016-06-30,12.63,$-0.20,0.0
2016-03-31,12.79,$-0.57,0.0
2015-12-31,13.98,$0.12,116.52
2015-09-30,16.0,$0.54,29.64
2015-06-30,20.9,$0.92,22.72
2015-03-31,18.58,$0.79,23.51
2014-12-31,18.31,$0.62,29.53
2014-09-30,15.88,$1.37,11.59
2014-06-30,18.72,$1.43,13.09
2014-03-31,21.78,$1.74,12.52
2013-12-31,19.16,$1.77,10.82
2013-09-30,13.66,$0.56,24.4
2013-06-30,14.55,$0.35,41.58
2013-03-31,14.8,$0.32,46.24
2012-12-31,13.04,$-0.28,0.0
2012-09-30,11.96,$0.24,49.85
2012-06-30,11.7,$0.23,50.85
2012-03-31,12.83,$0.04,320.8
2011-12-31,11.85,$0.74,16.01
2011-09-30,11.73,$1.67,7.02
2011-06-30,20.5,$1.77,11.58
2011-03-31,24.26,$2.45,9.9
2010-12-31,18.9,$2.75,6.87
2010-09-30,20.07,$2.05,9.79
2010-06-30,17.12,$2.39,7.16
2010-03-31,18.16,$2.27,8.0
2009-12-31,23.55,$1.46,16.13
