Cogent Communications Holdings PE Ratio Historical Data,Cogent Communications Holdings PE Ratio Historical Data,Cogent Communications Holdings PE Ratio Historical Data,Cogent Communications Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,68.97,,0.0
2024-12-31,77.07,$-4.30,0.0
2024-09-30,75.02,$0.78,96.18
2024-06-30,55.02,$0.91,60.47
2024-03-31,62.65,$25.24,2.48
2023-12-31,71.86,$26.75,2.69
2023-09-30,57.65,$22.60,2.55
2023-06-30,61.81,$23.63,2.62
2023-03-31,57.67,$0.22,262.13
2022-12-31,50.89,$0.11,462.61
2022-09-30,45.77,$0.48,95.35
2022-06-30,52.5,$0.93,56.45
2022-03-31,56.48,$0.64,88.25
2021-12-31,61.44,$1.03,59.65
2021-09-30,58.86,$0.50,117.73
2021-06-30,63.17,$0.11,574.28
2021-03-31,55.92,$0.34,164.48
2020-12-31,48.11,$0.13,370.06
2020-09-30,47.66,$0.43,110.83
2020-06-30,60.75,$0.84,72.33
2020-03-31,63.8,$0.82,77.8
2019-12-31,50.79,$0.82,61.94
2019-09-30,42.09,$0.82,51.33
2019-06-30,44.88,$0.70,64.12
2019-03-31,40.6,$0.68,59.71
2018-12-31,33.44,$0.63,53.07
2018-09-30,40.8,$0.33,123.63
2018-06-30,38.65,$0.23,168.05
2018-03-31,31.09,$0.19,163.66
2017-12-31,32.09,$0.13,246.82
2017-09-30,34.28,$0.36,95.23
2017-06-30,27.82,$0.36,77.27
2017-03-31,29.54,$0.35,84.4
2016-12-31,28.07,$0.34,82.56
2016-09-30,24.73,$0.31,79.78
2016-06-30,26.64,$0.30,88.8
2016-03-31,25.7,$0.23,111.76
2015-12-31,22.62,$0.11,205.63
2015-09-30,17.52,$0.04,438.11
2015-06-30,21.58,$-0.03,0.0
2015-03-31,22.3,$-0.02,0.0
2014-12-31,22.14,$0.02,1107.08
2014-09-30,20.84,$1.11,18.78
2014-06-30,21.24,$1.16,18.31
2014-03-31,21.85,$1.16,18.83
2013-12-31,24.85,$1.17,21.24
2013-09-30,19.63,$0.08,245.42
2013-06-30,17.06,$0.03,568.68
2013-03-31,15.92,$-0.04,0.0
2012-12-31,13.59,$-0.10,0.0
2012-09-30,13.73,$0.03,457.69
2012-06-30,11.43,$0.04,285.82
2012-03-31,11.34,$0.13,87.21
2011-12-31,10.04,$0.17,59.04
2011-09-30,7.99,$0.11,72.66
2011-06-30,10.11,$0.09,112.31
2011-03-31,8.47,$0.02,423.39
2010-12-31,8.4,$0.02,420.12
2010-09-30,5.63,$-0.07,0.0
2010-06-30,4.5,$-0.13,0.0
2010-03-31,6.19,$-0.21,0.0
2009-12-31,5.86,$-0.39,0.0
