Civeo PE Ratio Historical Data,Civeo PE Ratio Historical Data,Civeo PE Ratio Historical Data,Civeo PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,21.6,,0.0
2024-12-31,22.72,$-1.25,0.0
2024-09-30,27.12,$1.40,19.37
2024-06-30,24.44,$2.37,10.31
2024-03-31,26.06,$2.11,12.35
2023-12-31,21.93,$2.04,10.75
2023-09-30,19.68,$-0.82,0.0
2023-06-30,18.28,$-1.11,0.0
2023-03-31,19.37,$-0.87,0.0
2022-12-31,29.18,$-0.39,0.0
2022-09-30,23.58,$1.50,15.72
2022-06-30,24.27,$1.18,20.57
2022-03-31,22.15,$0.61,36.31
2021-12-31,17.99,$-0.15,0.0
2021-09-30,21.1,$-0.89,0.0
2021-06-30,16.7,$-0.53,0.0
2021-03-31,14.36,$-0.14,0.0
2020-12-31,13.04,$-9.88,0.0
2020-09-30,7.6,$-12.00,0.0
2020-06-30,6.94,$-12.12,0.0
2020-03-31,4.64,$-13.57,0.0
2019-12-31,14.52,$-4.44,0.0
2019-09-30,14.3,$-3.12,0.0
2019-06-30,19.37,$-4.44,0.0
2019-03-31,23.64,$-6.84,0.0
2018-12-31,16.1,$-10.56,0.0
2018-09-30,46.72,$-13.93,0.0
2018-06-30,49.09,$-14.89,0.0
2018-03-31,42.45,$-12.73,0.0
2017-12-31,30.74,$-9.72,0.0
2017-09-30,32.09,$-7.20,0.0
2017-06-30,23.64,$-9.84,0.0
2017-03-31,33.66,$-9.84,0.0
2016-12-31,24.77,$-10.80,0.0
2016-09-30,12.84,$-10.20,0.0
2016-06-30,20.27,$-17.65,0.0
2016-03-31,13.85,$-17.89,0.0
2015-12-31,15.99,$-14.89,0.0
2015-09-30,16.66,$-44.18,0.0
2015-06-30,34.57,$-28.45,0.0
2015-03-31,28.6,$-25.33,0.0
