Haverty Furniture PE Ratio Historical Data,Haverty Furniture PE Ratio Historical Data,Haverty Furniture PE Ratio Historical Data,Haverty Furniture PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,21.28,,18.19
2024-12-31,22.26,$1.17,19.03
2024-09-30,27.11,$1.59,17.05
2024-06-30,24.66,$2.32,10.63
2024-03-31,32.89,$2.75,11.96
2023-12-31,33.92,$3.35,10.12
2023-09-30,26.38,$3.85,6.85
2023-06-30,27.43,$4.29,6.39
2023-03-31,28.64,$4.86,5.89
2022-12-31,26.61,$5.23,5.09
2022-09-30,21.26,$5.19,4.1
2022-06-30,19.61,$5.04,3.89
2022-03-31,22.97,$4.98,4.61
2021-12-31,25.38,$4.91,5.17
2021-09-30,26.12,$4.93,5.3
2021-06-30,32.89,$4.59,7.17
2021-03-31,28.45,$4.10,6.94
2020-12-31,21.04,$3.15,6.68
2020-09-30,14.75,$2.09,7.06
2020-06-30,11.17,$1.43,7.81
2020-03-31,8.23,$1.00,8.23
2019-12-31,13.77,$1.08,12.75
2019-09-30,13.71,$1.22,11.23
2019-06-30,11.4,$1.29,8.83
2019-03-31,14.49,$1.29,11.23
2018-12-31,12.43,$1.41,8.82
2018-09-30,13.83,$1.09,12.69
2018-06-30,13.41,$0.99,13.55
2018-03-31,12.4,$0.99,12.52
2017-12-31,13.82,$0.98,14.1
2017-09-30,15.85,$1.36,11.65
2017-06-30,15.12,$1.42,10.65
2017-03-31,14.59,$1.37,10.65
2016-12-31,14.13,$1.30,10.87
2016-09-30,11.35,$1.20,9.46
2016-06-30,10.15,$1.20,8.46
2016-03-31,11.85,$1.17,10.13
2015-12-31,11.95,$1.23,9.71
2015-09-30,13.03,$0.37,35.21
2015-06-30,11.94,$0.37,32.28
2015-03-31,13.69,$0.37,37.01
2014-12-31,12.07,$0.37,32.62
2014-09-30,11.91,$1.24,9.6
2014-06-30,13.12,$1.32,9.94
2014-03-31,15.46,$1.32,11.71
2013-12-31,16.25,$1.41,11.52
2013-09-30,12.7,$1.29,9.84
2013-06-30,11.87,$1.02,11.64
2013-03-31,10.59,$0.92,11.51
2012-12-31,8.38,$0.67,12.51
2012-09-30,6.7,$1.13,5.93
2012-06-30,5.38,$0.99,5.43
2012-03-31,5.33,$0.84,6.34
2011-12-31,5.27,$0.70,7.53
2011-09-30,4.74,$0.19,24.97
2011-06-30,5.47,$0.23,23.76
2011-03-31,6.3,$0.24,26.23
2010-12-31,6.16,$0.38,16.22
2010-09-30,5.13,$0.55,9.33
2010-06-30,5.78,$0.52,11.12
2010-03-31,7.68,$0.25,30.71
2009-12-31,6.46,$-0.20,0.0
