CocaCola PE Ratio Historical Data,CocaCola PE Ratio Historical Data,CocaCola PE Ratio Historical Data,CocaCola PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,69.71,,28.22
2024-12-31,62.26,$2.47,25.21
2024-09-30,71.32,$2.42,29.47
2024-06-30,62.75,$2.47,25.4
2024-03-31,59.85,$2.50,23.94
2023-12-31,57.19,$2.48,23.06
2023-09-30,53.9,$2.49,21.65
2023-06-30,57.53,$2.43,23.67
2023-03-31,58.82,$2.28,25.8
2022-12-31,59.86,$2.20,27.21
2022-09-30,52.35,$2.29,22.86
2022-06-30,58.36,$2.21,26.41
2022-03-31,57.09,$2.38,23.99
2021-12-31,54.12,$2.26,23.95
2021-09-30,47.58,$2.04,23.32
2021-06-30,48.7,$1.87,26.04
2021-03-31,47.08,$1.67,28.19
2020-12-31,48.58,$1.79,27.14
2020-09-30,43.39,$1.92,22.6
2020-06-30,38.95,$2.12,18.37
2020-03-31,38.23,$2.32,16.48
2019-12-31,47.42,$2.07,22.91
2019-09-30,46.3,$1.80,25.72
2019-06-30,42.99,$1.64,26.21
2019-03-31,39.25,$1.57,25.0
2018-12-31,39.32,$1.50,26.21
2018-09-30,38.05,$0.65,58.54
2018-06-30,35.83,$0.54,66.35
2018-03-31,35.16,$0.32,109.88
2017-12-31,36.82,$0.27,136.36
2017-09-30,35.83,$1.05,34.12
2017-06-30,35.42,$0.96,36.89
2017-03-31,33.24,$1.43,23.25
2016-12-31,32.19,$1.50,21.46
2016-09-30,32.58,$1.65,19.75
2016-06-30,34.61,$1.74,19.89
2016-03-31,35.15,$1.66,21.17
2015-12-31,32.3,$1.67,19.34
2015-09-30,29.93,$1.56,19.19
2015-06-30,29.02,$1.71,16.97
2015-03-31,29.75,$1.58,18.83
2014-12-31,30.73,$1.59,19.32
2014-09-30,30.83,$1.80,17.13
2014-06-30,30.4,$1.86,16.34
2014-03-31,27.53,$1.87,14.72
2013-12-31,29.19,$1.90,15.36
2013-09-30,26.58,$1.93,13.77
2013-06-30,27.94,$1.89,14.78
2013-03-31,27.98,$1.91,14.69
2012-12-31,24.9,$1.96,12.7
2012-09-30,25.88,$1.91,13.55
2012-06-30,26.49,$1.89,14.05
2012-03-31,24.91,$1.88,13.25
2011-12-31,23.38,$1.85,12.67
2011-09-30,22.41,$2.72,8.25
2011-06-30,22.17,$2.68,8.27
2011-03-31,21.7,$2.59,8.38
2010-12-31,21.36,$2.53,8.46
2010-09-30,18.87,$1.63,11.62
2010-06-30,16.04,$1.59,10.09
2010-03-31,17.46,$1.52,11.49
2009-12-31,17.94,$1.47,12.25
