Johnson Controls PE Ratio Historical Data,Johnson Controls PE Ratio Historical Data,Johnson Controls PE Ratio Historical Data,Johnson Controls PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,83.15,,31.74
2024-12-31,78.93,$2.62,30.13
2024-09-30,77.61,$2.54,30.56
2024-06-30,66.15,$2.39,27.68
2024-03-31,64.66,$2.47,26.18
2023-12-31,56.72,$3.07,18.48
2023-09-30,52.0,$2.69,19.33
2023-06-30,66.14,$2.99,22.12
2023-03-31,58.13,$2.01,28.92
2022-12-31,61.39,$1.84,33.36
2022-09-30,46.95,$2.21,21.25
2022-06-30,45.36,$1.49,30.44
2022-03-31,61.66,$1.74,35.44
2021-12-31,76.06,$2.20,34.57
2021-09-30,63.41,$2.28,27.81
2021-06-30,63.68,$2.50,25.47
2021-03-31,55.14,$1.46,37.77
2020-12-31,42.86,$1.26,34.02
2020-09-30,37.37,$0.85,43.96
2020-06-30,31.03,$1.02,30.42
2020-03-31,24.32,$6.05,4.02
2019-12-31,36.44,$6.34,5.75
2019-09-30,39.03,$6.51,6.0
2019-06-30,36.52,$6.57,5.56
2019-03-31,32.45,$2.56,12.67
2018-12-31,25.86,$2.46,10.51
2018-09-30,30.28,$2.33,12.99
2018-06-30,28.73,$2.43,11.82
2018-03-31,30.04,$2.24,13.41
2017-12-31,32.26,$1.93,16.71
2017-09-30,33.87,$2.03,16.68
2017-06-30,36.22,$-0.51,0.0
2017-03-31,34.98,$-0.51,0.0
2016-12-31,34.01,$-0.32,0.0
2016-09-30,34.11,$-0.48,0.0
2016-06-30,32.38,$1.29,25.14
2016-03-31,27.75,$1.09,25.48
2015-12-31,23.94,$1.14,20.98
2015-09-30,24.98,$1.35,18.49
2015-06-30,28.57,$0.98,29.02
2015-03-31,31.82,$3.85,8.26
2014-12-31,32.27,$3.91,8.26
2014-09-30,32.65,$4.10,7.95
2014-06-30,33.27,$4.68,7.11
2014-03-31,30.8,$1.72,17.94
2013-12-31,29.7,$1.42,20.85
2013-09-30,25.06,$1.18,21.18
2013-06-30,23.36,$-0.14,0.0
2013-03-31,22.57,$0.10,215.78
2012-12-31,20.53,$0.67,30.64
2012-09-30,19.57,$1.06,18.51
2012-06-30,18.3,$2.90,6.31
2012-03-31,19.36,$3.16,6.12
2011-12-31,16.02,$3.12,5.13
2011-09-30,13.9,$3.78,3.68
2011-06-30,16.76,$3.45,4.87
2011-03-31,15.11,$3.18,4.75
2010-12-31,13.92,$3.17,4.39
2010-09-30,12.27,$2.43,5.05
2010-06-30,11.7,$2.32,5.03
2010-03-31,12.63,$2.42,5.22
2009-12-31,11.72,$-3.95,0.0
