Euroseas PE Ratio Historical Data,Euroseas PE Ratio Historical Data,Euroseas PE Ratio Historical Data,Euroseas PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,31.22,,1.92
2024-09-30,48.08,$16.22,2.96
2024-06-30,33.87,$16.92,2.0
2024-03-31,34.22,$15.23,2.25
2023-12-31,29.26,$16.46,1.78
2023-09-30,24.59,$15.76,1.56
2023-06-30,19.63,$14.61,1.34
2023-03-31,16.38,$14.70,1.11
2022-12-31,15.93,$14.73,1.08
2022-09-30,17.5,$15.00,1.17
2022-06-30,19.66,$12.67,1.55
2022-03-31,23.47,$9.54,2.46
2021-12-31,20.14,$5.94,3.39
2021-09-30,27.19,$2.88,9.44
2021-06-30,18.66,$1.72,10.85
2021-03-31,7.95,$0.81,9.81
2020-12-31,4.39,$0.60,7.32
2020-09-30,2.0,$0.35,5.71
2020-06-30,2.04,$0.26,7.84
2020-03-31,1.82,$-1.06,0.0
2019-12-31,3.29,$-1.70,0.0
2019-09-30,4.6,$-2.08,0.0
2019-06-30,3.98,$-1.84,0.0
2019-03-31,4.53,$0.88,5.15
2018-12-31,4.53,$-1.44,0.0
2018-09-30,8.22,$0.16,51.35
2018-06-30,11.32,$-3.84,0.0
2018-03-31,8.5,$-6.48,0.0
2017-12-31,6.73,$-5.76,0.0
2017-09-30,6.6,$-24.16,0.0
2017-06-30,5.02,$-25.20,0.0
2017-03-31,5.69,$-43.52,0.0
2016-12-31,6.68,$-44.80,0.0
2016-09-30,7.95,$-31.44,0.0
2016-06-30,7.39,$-28.88,0.0
2016-03-31,7.35,$-14.64,0.0
2015-12-31,10.08,$-19.44,0.0
2015-09-30,18.34,$-25.84,0.0
2015-06-30,30.04,$-29.12,0.0
2015-03-31,28.15,$-31.20,0.0
2014-12-31,30.04,$-27.20,0.0
2014-09-30,44.28,$-168.00,0.0
2014-06-30,45.86,$-168.80,0.0
2014-03-31,49.43,$-177.60,0.0
2013-12-31,57.32,$-181.60,0.0
2013-09-30,59.69,$-33.60,0.0
2013-06-30,40.63,$-28.80,0.0
2013-03-31,44.28,$-16.00,0.0
2012-12-31,34.51,$-31.20,0.0
2012-09-30,41.87,$-24.80,0.0
2012-06-30,43.34,$-21.60,0.0
2012-03-31,81.08,$-18.40,0.0
2011-12-31,82.08,$3.20,25.65
2011-09-30,107.68,$-2.40,0.0
2011-06-30,145.78,$-12.00,0.0
2011-03-31,159.14,$-10.40,0.0
2010-12-31,119.79,$-16.80,0.0
2010-09-30,127.53,$-56.80,0.0
2010-06-30,110.77,$-43.20,0.0
2010-03-31,119.18,$-59.20,0.0
2009-12-31,119.86,$-40.80,0.0
