CB Financial Services PE Ratio Historical Data,CB Financial Services PE Ratio Historical Data,CB Financial Services PE Ratio Historical Data,CB Financial Services PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,28.19,,14.61
2024-12-31,28.58,$1.93,14.81
2024-09-30,27.72,$4.45,6.23
2024-06-30,22.24,$4.37,5.09
2024-03-31,20.98,$4.40,4.77
2023-12-31,22.85,$4.37,5.23
2023-09-30,20.3,$2.66,7.63
2023-06-30,19.42,$2.91,6.67
2023-03-31,20.11,$2.39,8.41
2022-12-31,19.62,$2.18,9.0
2022-09-30,19.71,$2.68,7.35
2022-06-30,20.48,$2.28,8.98
2022-03-31,21.27,$2.22,9.58
2021-12-31,21.14,$2.16,9.79
2021-09-30,20.39,$1.42,14.36
2021-06-30,19.06,$-2.17,0.0
2021-03-31,18.84,$-1.59,0.0
2020-12-31,16.82,$-1.97,0.0
2020-09-30,15.86,$-1.69,0.0
2020-06-30,17.92,$2.22,8.07
2020-03-31,15.71,$2.23,7.04
2019-12-31,24.3,$2.63,9.24
2019-09-30,22.2,$2.23,9.96
2019-06-30,18.81,$1.96,9.6
2019-03-31,18.6,$1.63,11.41
2018-12-31,19.24,$1.42,13.55
2018-09-30,23.75,$1.30,18.27
2018-06-30,26.3,$1.38,19.06
2018-03-31,23.59,$1.60,14.74
2017-12-31,22.63,$1.69,13.39
2017-09-30,21.76,$1.85,11.76
2017-06-30,19.27,$1.73,11.14
2017-03-31,20.85,$1.77,11.78
2016-12-31,18.89,$1.85,10.21
2016-09-30,16.95,$1.79,9.47
2016-06-30,15.28,$1.93,7.92
2016-03-31,14.05,$2.00,7.02
2015-12-31,16.11,$2.06,7.82
2015-09-30,14.72,$2.13,6.91
2015-06-30,13.71,$1.93,7.1
2015-03-31,13.47,$1.38,9.76
2014-12-31,13.43,$0.82,16.37
2014-09-30,13.35,$0.32,41.73
2014-06-30,13.19,0,0.0
2014-03-31,13.19,0,0.0
2013-12-31,13.19,0,0.0
2013-09-30,13.15,0,0.0
2013-06-30,13.4,0,0.0
2013-03-31,13.26,0,0.0
2012-12-31,12.17,0,0.0
2011-12-31,12.86,0,0.0
2011-06-30,11.09,0,0.0
2011-03-31,10.99,0,0.0
2010-12-31,11.14,0,0.0
2010-09-30,11.47,0,0.0
2010-06-30,9.75,0,0.0
2010-03-31,8.81,0,0.0
2009-12-31,8.39,0,0.0
