Lyell Immunopharma PE Ratio Historical Data,Lyell Immunopharma PE Ratio Historical Data,Lyell Immunopharma PE Ratio Historical Data,Lyell Immunopharma PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.53,,0.0
2024-12-31,0.64,$-0.59,0.0
2024-09-30,1.38,$-0.79,0.0
2024-06-30,1.45,$-0.82,0.0
2024-03-31,2.23,$-0.90,0.0
2023-12-31,1.94,$-0.93,0.0
2023-09-30,1.47,$-0.76,0.0
2023-06-30,3.18,$-0.84,0.0
2023-03-31,2.36,$-0.73,0.0
2022-12-31,3.47,$-0.74,0.0
2022-09-30,7.33,$-0.89,0.0
2022-06-30,6.52,$-0.81,0.0
2022-03-31,5.05,$-2.13,0.0
