Waste Management PE Ratio Historical Data,Waste Management PE Ratio Historical Data,Waste Management PE Ratio Historical Data,Waste Management PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,226.9,,33.37
2024-12-31,201.79,$6.80,29.68
2024-09-30,206.9,$6.54,31.64
2024-06-30,211.86,$6.29,33.68
2024-03-31,211.67,$6.11,34.64
2023-12-31,177.22,$5.66,31.31
2023-09-30,150.23,$5.65,26.59
2023-06-30,170.15,$5.56,30.6
2023-03-31,159.4,$5.46,29.19
2022-12-31,152.55,$5.39,28.3
2022-09-30,155.19,$5.38,28.85
2022-06-30,147.63,$5.12,28.83
2022-03-31,152.34,$4.54,33.55
2021-12-31,159.74,$4.30,37.15
2021-09-30,142.45,$4.13,34.49
2021-06-30,133.14,$3.77,35.31
2021-03-31,122.1,$3.66,33.36
2020-12-31,111.07,$3.52,31.55
2020-09-30,106.09,$3.54,29.97
2020-06-30,98.8,$3.78,26.14
2020-03-31,85.92,$3.95,21.75
2019-12-31,105.29,$3.91,26.93
2019-09-30,105.77,$4.10,25.8
2019-06-30,105.65,$4.10,25.77
2019-03-31,94.73,$4.36,21.73
2018-12-31,80.71,$4.46,18.1
2018-09-30,81.96,$5.28,15.52
2018-06-30,73.4,$4.99,14.71
2018-03-31,75.49,$4.65,16.23
2017-12-31,77.03,$4.41,17.47
2017-09-30,69.5,$3.10,22.42
2017-06-30,64.77,$2.91,22.26
2017-03-31,64.02,$2.74,23.36
2016-12-31,61.89,$2.65,23.36
2016-09-30,55.32,$2.51,22.04
2016-06-30,57.14,$2.57,22.23
2016-03-31,50.53,$2.53,19.97
2015-12-31,45.38,$1.67,27.18
2015-09-30,42.05,$2.34,17.97
2015-06-30,38.83,$2.18,17.81
2015-03-31,45.08,$2.03,22.21
2014-12-31,42.36,$2.80,15.13
2014-09-30,38.94,$0.23,169.29
2014-06-30,36.35,$0.27,134.64
2014-03-31,33.9,$0.34,99.71
2013-12-31,35.83,$0.21,170.63
2013-09-30,32.67,$1.98,16.5
2013-06-30,31.66,$1.82,17.4
2013-03-31,30.51,$1.75,17.43
2012-12-31,25.99,$1.76,14.77
2012-09-30,24.44,$1.86,13.14
2012-06-30,25.19,$1.98,12.72
2012-03-31,26.08,$2.03,12.85
2011-12-31,24.15,$2.05,11.78
2011-09-30,23.77,$2.06,11.54
2011-06-30,26.93,$1.99,13.53
2011-03-31,26.74,$2.00,13.37
2010-12-31,26.17,$1.98,13.22
2010-09-30,25.14,$2.03,12.38
2010-06-30,21.8,$2.08,10.48
2010-03-31,23.76,$2.07,11.48
2009-12-31,23.12,$2.01,11.5
