Stratasys PE Ratio Historical Data,Stratasys PE Ratio Historical Data,Stratasys PE Ratio Historical Data,Stratasys PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,10.46,,0.0
2024-12-31,8.89,$-1.69,0.0
2024-09-30,8.31,$-1.32,0.0
2024-06-30,8.39,$-1.63,0.0
2024-03-31,11.62,$-1.83,0.0
2023-12-31,14.28,$-1.79,0.0
2023-09-30,13.61,$-1.61,0.0
2023-06-30,17.76,$-0.65,0.0
2023-03-31,16.53,$-0.46,0.0
2022-12-31,11.86,$-0.45,0.0
2022-09-30,14.41,$-0.48,0.0
2022-06-30,18.74,$-1.04,0.0
2022-03-31,25.39,$-0.98,0.0
2021-12-31,24.49,$-0.98,0.0
2021-09-30,21.52,$-0.71,0.0
2021-06-30,25.86,$-7.78,0.0
2021-03-31,25.9,$-7.98,0.0
2020-12-31,20.72,$-8.06,0.0
2020-09-30,12.47,$-8.31,0.0
2020-06-30,15.86,$-1.09,0.0
2020-03-31,15.95,$-0.56,0.0
2019-12-31,20.23,$-0.20,0.0
2019-09-30,21.31,$-0.03,0.0
2019-06-30,29.37,$0.09,326.33
2019-03-31,23.82,$-0.01,0.0
2018-12-31,18.01,$-0.21,0.0
2018-09-30,23.11,$-0.52,0.0
2018-06-30,19.14,$-0.70,0.0
2018-03-31,20.18,$-0.73,0.0
2017-12-31,19.96,$-0.75,0.0
2017-09-30,23.12,$-0.86,0.0
2017-06-30,23.31,$-1.07,0.0
2017-03-31,20.49,$-1.32,0.0
2016-12-31,16.54,$-1.50,0.0
2016-09-30,24.09,$-5.66,0.0
2016-06-30,22.89,$-23.32,0.0
2016-03-31,25.92,$-23.51,0.0
2015-12-31,23.48,$-27.31,0.0
2015-09-30,26.49,$-22.85,0.0
2015-06-30,34.93,$-5.41,0.0
2015-03-31,52.78,$-4.86,0.0
2014-12-31,83.11,$-0.62,0.0
2014-09-30,120.78,$-0.62,0.0
2014-06-30,113.63,0,0.0
2014-03-31,106.09,0,0.0
2013-12-31,134.7,0,0.0
2013-09-30,101.26,$-0.09,0.0
2013-06-30,83.74,$0.15,558.27
2013-03-31,74.22,$0.29,255.93
2012-12-31,80.15,$0.50,160.3
2012-09-30,54.4,$0.86,63.26
2012-06-30,49.5,$0.89,55.62
2012-03-31,36.52,$0.93,39.27
2011-12-31,30.41,$0.95,32.01
2011-09-30,18.54,$0.88,21.07
2011-06-30,33.7,$0.76,44.34
2011-03-31,47.0,$0.69,68.12
2010-12-31,32.64,$0.44,74.18
2010-09-30,27.72,$0.36,77.0
2010-06-30,24.56,$0.29,84.69
2010-03-31,24.43,$0.22,111.05
2009-12-31,17.24,$0.20,86.2
