GEN Restaurant PE Ratio Historical Data,GEN Restaurant PE Ratio Historical Data,GEN Restaurant PE Ratio Historical Data,GEN Restaurant PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,6.08,,33.78
2024-12-31,7.48,$0.18,41.56
2024-09-30,8.44,$0.17,49.65
2024-06-30,9.06,$0.24,37.75
2024-03-31,11.68,$0.18,64.89
