Gulf Island Fabrication PE Ratio Historical Data,Gulf Island Fabrication PE Ratio Historical Data,Gulf Island Fabrication PE Ratio Historical Data,Gulf Island Fabrication PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,6.72,,7.64
2024-12-31,6.81,$0.88,7.74
2024-09-30,5.64,$1.05,5.37
2024-06-30,6.07,$-1.13,0.0
2024-03-31,7.35,$-1.17,0.0
2023-12-31,4.33,$-1.50,0.0
2023-09-30,3.27,$-1.89,0.0
2023-06-30,3.25,$0.19,17.11
2023-03-31,3.7,$0.15,24.67
2022-12-31,5.13,$-0.21,0.0
2022-09-30,4.17,$-0.65,0.0
2022-06-30,3.35,$-0.35,0.0
2022-03-31,3.92,$-0.57,0.0
2021-12-31,4.01,$-1.46,0.0
2021-09-30,3.97,$-2.07,0.0
2021-06-30,4.52,$-3.22,0.0
2021-03-31,3.86,$-3.39,0.0
2020-12-31,3.06,$-1.79,0.0
2020-09-30,3.13,$-3.04,0.0
2020-06-30,3.07,$-2.67,0.0
2020-03-31,3.0,$-2.65,0.0
2019-12-31,5.07,$-3.24,0.0
2019-09-30,5.35,$-1.29,0.0
2019-06-30,7.1,$-1.58,0.0
2019-03-31,9.17,$-1.20,0.0
2018-12-31,7.22,$-1.35,0.0
2018-09-30,9.95,$-2.66,0.0
2018-06-30,9.0,$-2.14,0.0
2018-03-31,7.1,$-2.91,0.0
2017-12-31,13.43,$-3.00,0.0
2017-09-30,12.69,$-1.62,0.0
2017-06-30,11.58,$-1.37,0.0
2017-03-31,11.52,$-0.27,0.0
2016-12-31,11.86,$0.24,49.4
2016-09-30,9.16,$-0.53,0.0
2016-06-30,6.9,$-1.41,0.0
2016-03-31,7.79,$-1.69,0.0
2015-12-31,10.37,$-1.76,0.0
2015-09-30,10.35,$-0.76,0.0
2015-06-30,10.89,$0.60,18.16
2015-03-31,14.38,$0.81,17.76
2014-12-31,18.64,$1.05,17.75
2014-09-30,16.46,$0.84,19.59
2014-06-30,20.48,$0.55,37.24
2014-03-31,20.46,$0.55,37.21
2013-12-31,21.88,$0.50,43.77
2013-09-30,23.01,$0.16,143.81
2013-06-30,17.91,$-0.79,0.0
2013-03-31,19.59,$-0.57,0.0
2012-12-31,22.26,$-0.29,0.0
2012-09-30,25.69,$0.39,65.88
2012-06-30,25.91,$1.22,21.24
2012-03-31,26.78,$0.83,32.27
2011-12-31,26.64,$-0.13,0.0
2011-09-30,18.82,$-0.13,0.0
2011-06-30,29.3,0,0.0
2011-03-31,29.14,$0.11,264.95
2010-12-31,25.48,$0.91,28.0
2010-09-30,16.45,$1.11,14.82
2010-06-30,14.02,$1.28,10.95
2010-03-31,19.64,$1.32,14.88
2009-12-31,18.98,$1.44,13.18
