CRH PE Ratio Historical Data,CRH PE Ratio Historical Data,CRH PE Ratio Historical Data,CRH PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,97.59,,19.4
2024-12-31,92.52,$5.03,18.39
2024-09-30,92.74,$5.00,18.55
2024-06-30,74.98,$3.03,24.75
2024-03-31,86.26,$1.15,75.01
2023-12-31,69.16,$0.99,69.86
2023-09-30,54.73,0,0.0
