Mama's Creations PE Ratio Historical Data,Mama's Creations PE Ratio Historical Data,Mama's Creations PE Ratio Historical Data,Mama's Creations PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,6.39,,71.0
2024-10-31,7.45,$0.09,82.78
2024-07-31,7.62,$0.13,58.62
2024-04-30,5.94,$0.15,39.6
2024-01-31,4.31,$0.18,23.94
2023-10-31,3.38,$0.20,16.9
2023-07-31,3.71,$0.18,20.61
2023-04-30,2.04,$0.11,18.55
2023-01-31,2.0,$0.07,28.57
2022-10-31,1.03,$-0.03,0.0
2022-07-31,1.46,$-0.06,0.0
2022-04-30,1.75,$-0.03,0.0
