Revelation Biosciences PE Ratio Historical Data,Revelation Biosciences PE Ratio Historical Data,Revelation Biosciences PE Ratio Historical Data,Revelation Biosciences PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.91,,0.0
2024-12-31,0.46,$-139.86,0.0
2024-09-30,0.85,$-268.16,0.0
2024-06-30,1.91,$-456.52,0.0
2024-03-31,2.74,$-494.56,0.0
2023-12-31,0.5,$486.54,0.0
2023-09-30,0.69,$-230.63,0.0
2023-06-30,0.94,"$-1,036.83",0.0
2023-03-31,1.3,"$-2,932.71",0.0
2022-12-31,0.19,"$-11,770.46",0.0
2022-09-30,0.26,"$-10,920.01",0.0
2022-06-30,1.11,"$-9,912.01",0.0
2022-03-31,1.14,"$-7,896.01",0.0
2021-12-31,10.2,0,0.0
2021-09-30,10.08,0,0.0
