Gladstone Commercial PE Ratio Historical Data,Gladstone Commercial PE Ratio Historical Data,Gladstone Commercial PE Ratio Historical Data,Gladstone Commercial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,14.87,,57.19
2024-12-31,16.24,$0.26,62.46
2024-09-30,16.05,$0.20,80.23
2024-06-30,13.82,$-0.04,0.0
2024-03-31,13.12,$-0.19,0.0
2023-12-31,12.27,$-0.22,0.0
2023-09-30,11.0,$-0.28,0.0
2023-06-30,10.94,$-0.26,0.0
2023-03-31,10.9,$-0.11,0.0
2022-12-31,15.64,$-0.08,0.0
2022-09-30,12.82,$-0.05,0.0
2022-06-30,15.28,$0.01,1527.87
2022-03-31,17.52,$-0.03,0.0
2021-12-31,20.16,$-0.12,0.0
2021-09-30,16.19,$0.05,323.72
2021-06-30,17.07,0,0.0
2021-03-31,14.54,$0.02,727.24
2020-12-31,13.13,$0.08,164.09
2020-09-30,12.03,$-0.27,0.0
2020-06-30,13.11,$-0.28,0.0
2020-03-31,9.81,$-0.24,0.0
2019-12-31,14.58,$-0.16,0.0
2019-09-30,15.42,$0.01,0.0
2019-06-30,13.69,$0.02,684.5
2019-03-31,13.17,$0.03,438.84
2018-12-31,11.15,$0.03,371.73
2018-09-30,11.68,$-0.11,0.0
2018-06-30,11.5,$-0.11,0.0
2018-03-31,10.17,$-0.18,0.0
2017-12-31,12.1,$-0.17,0.0
2017-09-30,12.58,$-0.03,0.0
2017-06-30,12.1,$-0.12,0.0
2017-03-31,11.28,$-0.07,0.0
2016-12-31,10.76,$-0.16,0.0
2016-09-30,9.78,$-0.09,0.0
2016-06-30,8.68,$-0.05,0.0
2016-03-31,8.23,$-0.06,0.0
2015-12-31,7.14,$-0.07,0.0
2015-09-30,6.74,$0.23,29.31
2015-06-30,7.72,$0.24,32.18
2015-03-31,8.5,$0.29,29.31
2014-12-31,7.68,$-0.61,0.0
2014-09-30,7.44,$-1.02,0.0
2014-06-30,7.66,$-1.03,0.0
2014-03-31,7.28,$-1.09,0.0
2013-12-31,7.38,$-0.22,0.0
2013-09-30,7.23,$-0.21,0.0
2013-06-30,7.35,$-0.16,0.0
2013-03-31,7.53,$-0.13,0.0
2012-12-31,6.81,$-0.05,0.0
2012-09-30,6.78,$-0.00,0.0
2012-06-30,6.06,$0.08,75.73
2012-03-31,6.12,$0.14,43.71
2011-12-31,6.11,$0.17,35.95
2011-09-30,5.34,$0.13,41.08
2011-06-30,5.77,$0.18,32.07
2011-03-31,5.95,$0.14,42.51
2010-12-31,6.02,$0.10,60.19
2010-09-30,5.38,$0.14,38.4
2010-06-30,5.01,$0.05,100.12
2010-03-31,4.33,$0.06,72.12
2009-12-31,3.91,$0.06,65.17
