Bioventus PE Ratio Historical Data,Bioventus PE Ratio Historical Data,Bioventus PE Ratio Historical Data,Bioventus PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,9.74,,0.0
2024-12-31,10.5,$-0.51,0.0
2024-09-30,11.95,$-0.61,0.0
2024-06-30,5.75,$-0.66,0.0
2024-03-31,5.2,$-0.35,0.0
2023-12-31,5.27,$-2.52,0.0
2023-09-30,3.3,$-2.94,0.0
2023-06-30,2.89,$-4.58,0.0
2023-03-31,1.07,$-4.63,0.0
2022-12-31,2.61,$-2.58,0.0
2022-09-30,7.0,$-2.07,0.0
2022-06-30,6.82,$-0.34,0.0
2022-03-31,14.1,$-0.33,0.0
2021-12-31,14.49,$-0.16,0.0
