Skyworks Solutions PE Ratio Historical Data,Skyworks Solutions PE Ratio Historical Data,Skyworks Solutions PE Ratio Historical Data,Skyworks Solutions PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,68.39,,20.98
2024-12-31,88.68,$3.26,27.2
2024-09-30,97.99,$3.70,26.48
2024-06-30,105.04,$4.85,21.66
2024-03-31,105.99,$5.32,19.92
2023-12-31,109.29,$5.64,19.38
2023-09-30,95.16,$6.13,15.52
2023-06-30,106.16,$6.49,16.36
2023-03-31,112.49,$6.93,16.23
2022-12-31,86.41,$7.33,11.79
2022-09-30,80.31,$7.80,10.3
2022-06-30,86.74,$7.87,11.02
2022-03-31,124.11,$8.23,15.08
2021-12-31,143.87,$8.32,17.29
2021-09-30,152.27,$8.97,16.97
2021-06-30,176.64,$8.48,20.83
2021-03-31,168.51,$7.23,23.31
2020-12-31,140.04,$6.34,22.09
2020-09-30,132.8,$4.79,27.72
2020-06-30,116.29,$4.55,25.56
2020-03-31,80.99,$4.61,17.57
2019-12-31,109.12,$4.78,22.83
2019-09-30,71.22,$4.88,14.59
2019-06-30,69.03,$5.24,13.17
2019-03-31,73.27,$5.98,12.25
2018-12-31,59.19,$6.25,9.47
2018-09-30,79.69,$5.03,15.84
2018-06-30,84.57,$4.96,17.05
2018-03-31,87.45,$4.71,18.57
2017-12-31,82.57,$4.41,18.72
2017-09-30,88.35,$5.41,16.33
2017-06-30,82.93,$5.21,15.92
2017-03-31,84.46,$4.86,17.38
2016-12-31,64.16,$4.74,13.54
2016-09-30,65.19,$5.18,12.59
2016-06-30,53.95,$5.05,10.68
2016-03-31,66.15,$5.14,12.87
2015-12-31,64.95,$4.91,13.23
2015-09-30,70.83,$4.10,17.28
2015-06-30,87.45,$3.82,22.89
2015-03-31,82.46,$3.34,24.69
2014-12-31,60.9,$2.89,21.07
2014-09-30,48.52,$2.37,20.47
2014-06-30,39.17,$1.91,20.51
2014-03-31,31.21,$1.67,18.69
2013-12-31,23.76,$1.59,14.94
2013-09-30,20.66,$1.44,14.35
2013-06-30,18.21,$1.31,13.9
2013-03-31,18.32,$1.23,14.9
2012-12-31,16.89,$1.09,15.49
2012-09-30,19.6,$1.05,18.67
2012-06-30,22.73,$1.08,21.04
2012-03-31,23.0,$1.09,21.1
2011-12-31,13.49,$1.17,11.53
2011-09-30,14.94,$1.19,12.55
2011-06-30,19.12,$1.10,17.38
2011-03-31,26.95,$1.02,26.42
2010-12-31,23.82,$0.91,26.17
2010-09-30,17.19,$0.75,22.93
2010-06-30,13.97,$0.82,17.03
2010-03-31,12.98,$0.75,17.3
2009-12-31,11.8,$0.57,20.71
