Caesarstone PE Ratio Historical Data,Caesarstone PE Ratio Historical Data,Caesarstone PE Ratio Historical Data,Caesarstone PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.74,,0.0
2024-12-31,4.25,$-1.14,0.0
2024-09-30,4.56,$-2.01,0.0
2024-06-30,5.0,$-1.92,0.0
2024-03-31,4.09,$-3.17,0.0
2023-12-31,3.74,$-3.13,0.0
2023-09-30,4.28,$-3.81,0.0
2023-06-30,5.24,$-3.80,0.0
2023-03-31,4.13,$-1.96,0.0
2022-12-31,5.71,$-1.67,0.0
2022-09-30,9.31,$0.37,25.16
2022-06-30,8.91,$0.56,15.91
2022-03-31,10.27,$0.29,35.41
2021-12-31,11.07,$0.52,21.29
2021-09-30,12.02,$0.56,21.47
2021-06-30,14.29,$0.76,18.8
2021-03-31,13.11,$0.54,24.29
2020-12-31,12.31,$0.21,58.63
2020-09-30,9.25,$0.27,34.27
2020-06-30,11.19,$0.11,101.7
2020-03-31,9.98,$0.47,21.23
2019-12-31,14.23,$0.38,37.44
2019-09-30,15.53,$0.43,36.12
2019-06-30,14.05,$0.53,26.52
2019-03-31,14.6,$0.66,22.11
2018-12-31,12.7,$0.72,17.64
2018-09-30,17.17,$0.49,35.04
2018-06-30,13.87,$0.37,37.48
2018-03-31,18.05,$0.47,38.39
2017-12-31,20.2,$0.73,27.68
2017-09-30,27.37,$1.36,20.12
2017-06-30,32.19,$1.82,17.69
2017-03-31,33.29,$2.13,15.63
2016-12-31,26.31,$2.15,12.24
2016-09-30,34.63,$2.24,15.46
2016-06-30,31.92,$2.15,14.85
2016-03-31,31.55,$2.07,15.24
2015-12-31,39.8,$2.20,18.09
2015-09-30,27.92,$2.25,12.41
2015-06-30,62.94,$2.44,25.8
2015-03-31,55.75,$2.30,24.24
2014-12-31,54.94,$2.21,24.86
2014-09-30,47.03,$2.11,22.29
2014-06-30,44.66,$1.82,24.54
2014-03-31,49.49,$1.87,26.46
2013-12-31,45.2,$1.80,25.11
2013-09-30,41.06,$1.63,25.19
2013-06-30,24.48,$1.53,16.0
2013-03-31,23.73,$1.31,18.11
2012-12-31,14.37,$1.19,12.08
