Oric Pharmaceuticals PE Ratio Historical Data,Oric Pharmaceuticals PE Ratio Historical Data,Oric Pharmaceuticals PE Ratio Historical Data,Oric Pharmaceuticals PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,7.51,,0.0
2024-12-31,8.07,$-1.82,0.0
2024-09-30,10.25,$-1.80,0.0
2024-06-30,7.07,$-1.75,0.0
2024-03-31,13.75,$-1.80,0.0
2023-12-31,9.2,$-1.96,0.0
2023-09-30,6.05,$-1.99,0.0
2023-06-30,7.76,$-2.18,0.0
2023-03-31,5.7,$-2.19,0.0
2022-12-31,5.89,$-2.25,0.0
2022-09-30,3.2,$-2.31,0.0
2022-06-30,4.48,$-2.15,0.0
2022-03-31,5.34,$-2.21,0.0
2021-12-31,14.7,$-2.07,0.0
2021-09-30,20.91,$-2.33,0.0
2021-06-30,17.69,$-2.70,0.0
2021-03-31,24.5,$-2.64,0.0
