Escalade PE Ratio Historical Data,Escalade PE Ratio Historical Data,Escalade PE Ratio Historical Data,Escalade PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,14.84,,20.33
2024-12-31,14.28,$0.73,19.56
2024-09-30,13.92,$0.94,14.81
2024-06-30,13.48,$0.85,15.86
2024-03-31,13.29,$0.91,14.61
2023-12-31,19.27,$0.71,27.14
2023-09-30,14.68,$0.70,20.97
2023-06-30,12.68,$0.61,20.78
2023-03-31,13.71,$0.77,17.8
2022-12-31,9.45,$1.33,7.1
2022-09-30,9.09,$1.49,6.1
2022-06-30,11.71,$1.70,6.89
2022-03-31,11.77,$1.86,6.33
2021-12-31,13.92,$1.76,7.91
2021-09-30,16.52,$1.76,9.39
2021-06-30,19.93,$2.04,9.77
2021-03-31,18.05,$2.07,8.72
2020-12-31,18.17,$1.82,9.98
2020-09-30,15.59,$1.64,9.51
2020-06-30,11.8,$1.11,10.63
2020-03-31,4.97,$0.63,7.89
2019-12-31,8.07,$0.51,15.82
2019-09-30,8.84,$0.58,15.24
2019-06-30,9.2,$0.65,14.15
2019-03-31,8.86,$1.36,6.51
2018-12-31,8.98,$1.42,6.32
2018-09-30,9.97,$1.69,5.9
2018-06-30,10.84,$1.66,6.53
2018-03-31,10.44,$0.97,10.76
2017-12-31,9.29,$0.99,9.38
2017-09-30,10.18,$0.71,14.34
2017-06-30,9.71,$0.79,12.3
2017-03-31,9.47,$0.79,11.99
2016-12-31,9.61,$0.81,11.86
2016-09-30,9.21,$0.77,11.96
2016-06-30,7.33,$0.61,12.01
2016-03-31,8.34,$0.69,12.08
2015-12-31,9.3,$0.82,11.35
2015-09-30,10.99,$0.91,12.07
2015-06-30,12.71,$1.73,7.34
2015-03-31,11.94,$0.93,12.84
2014-12-31,10.3,$0.84,12.26
2014-09-30,8.18,$0.77,10.62
2014-06-30,10.86,$-0.01,0.0
2014-03-31,8.97,$0.75,11.96
2013-12-31,7.82,$0.71,11.01
2013-09-30,5.67,$0.78,7.28
2013-06-30,4.04,$-0.25,0.0
2013-03-31,3.97,$-0.36,0.0
2012-12-31,3.31,$-0.36,0.0
2012-09-30,3.34,$-0.49,0.0
2012-06-30,3.48,$0.33,10.56
2012-03-31,3.56,$0.36,9.88
2011-12-31,2.66,$0.33,8.06
2011-09-30,2.93,$0.34,8.63
2011-06-30,3.42,$0.46,7.43
2011-03-31,3.14,$0.49,6.41
2010-12-31,3.61,$0.46,7.84
2010-09-30,2.67,$0.37,7.21
2010-06-30,2.72,$0.33,8.25
2010-03-31,1.46,$0.22,6.66
2009-12-31,1.38,$0.13,10.58
