Eagle Bancorp Montana PE Ratio Historical Data,Eagle Bancorp Montana PE Ratio Historical Data,Eagle Bancorp Montana PE Ratio Historical Data,Eagle Bancorp Montana PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,16.95,,15.69
2024-09-30,15.66,$1.08,14.5
2024-06-30,13.02,$1.08,12.06
2024-03-31,12.47,$1.12,11.13
2023-12-31,15.17,$1.30,11.67
2023-09-30,11.3,$1.49,7.58
2023-06-30,12.42,$1.55,8.01
2023-03-31,13.1,$1.53,8.56
2022-12-31,14.88,$1.43,10.41
2022-09-30,17.37,$1.22,14.24
2022-06-30,18.07,$1.55,11.66
2022-03-31,20.14,$1.70,11.85
2021-12-31,20.61,$2.16,9.54
2021-09-30,19.85,$2.66,7.46
2021-06-30,20.4,$2.87,7.11
2021-03-31,21.48,$3.32,6.47
2020-12-31,18.66,$3.11,6.0
2020-09-30,15.41,$2.71,5.69
2020-06-30,15.12,$2.40,6.3
2020-03-31,14.02,$2.07,6.77
2019-12-31,18.42,$1.68,10.96
2019-09-30,15.0,$1.58,9.49
2019-06-30,14.23,$1.25,11.38
2019-03-31,14.44,$0.98,14.73
2018-12-31,13.99,$0.91,15.37
2018-09-30,15.31,$0.76,20.14
2018-06-30,16.2,$0.91,17.8
2018-03-31,17.34,$0.94,18.44
2017-12-31,17.42,$1.03,16.92
2017-09-30,15.32,$1.29,11.87
2017-06-30,14.91,$1.30,11.47
2017-03-31,16.33,$1.35,12.1
2016-12-31,17.25,$1.36,12.68
2016-09-30,11.56,$1.21,9.55
2016-06-30,10.28,$0.89,11.55
2016-03-31,9.77,$0.78,12.52
2015-12-31,9.87,$0.67,14.73
2015-09-30,8.99,$0.69,13.03
2015-06-30,8.49,$0.73,11.64
2015-03-31,8.69,$0.73,11.9
2014-12-31,8.53,$0.66,12.92
2014-09-30,8.29,$0.54,15.35
2014-06-30,8.05,$0.53,15.18
2014-03-31,8.49,$0.32,26.52
2013-12-31,8.28,$0.52,15.92
2013-09-30,8.15,$0.39,20.89
2013-06-30,7.96,$0.33,24.13
2013-03-31,8.12,$0.33,24.6
2012-12-31,7.62,$0.27,28.23
2012-09-30,7.94,$0.40,19.85
2012-06-30,7.27,$0.40,18.16
2012-03-31,7.34,$0.40,18.36
2011-12-31,7.06,$0.33,21.38
2011-09-30,7.48,$0.38,19.69
2011-06-30,7.55,$0.49,15.41
2011-03-31,8.18,$0.49,16.69
2010-12-31,7.56,$0.78,9.69
2010-09-30,6.31,$0.73,8.66
2010-06-30,6.71,$0.69,9.72
2010-03-31,7.91,$0.69,11.47
2009-12-31,5.83,$0.53,11.02
