IRadimed PE Ratio Historical Data,IRadimed PE Ratio Historical Data,IRadimed PE Ratio Historical Data,IRadimed PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,52.5,,35.0
2024-12-31,55.0,$1.50,36.67
2024-09-30,50.15,$1.46,34.35
2024-06-30,43.66,$1.46,29.91
2024-03-31,43.56,$1.41,30.89
2023-12-31,47.0,$1.36,34.56
2023-09-30,43.34,$1.29,33.6
2023-06-30,46.63,$1.16,40.2
2023-03-31,38.44,$1.09,35.26
2022-12-31,26.85,$1.02,26.33
2022-09-30,28.53,$1.04,27.43
2022-06-30,32.21,$0.97,33.21
2022-03-31,42.56,$0.83,51.28
2021-12-31,42.99,$0.74,58.1
2021-09-30,31.25,$0.48,65.1
2021-06-30,27.36,$0.37,73.95
2021-03-31,23.97,$0.08,299.69
2020-12-31,21.21,$0.11,192.83
2020-09-30,19.89,$0.32,62.16
2020-06-30,21.59,$0.43,50.22
2020-03-31,19.86,$0.77,25.8
2019-12-31,21.75,$0.78,27.89
2019-09-30,19.56,$0.66,29.63
2019-06-30,19.03,$0.66,28.83
2019-03-31,26.13,$0.60,43.56
2018-12-31,22.76,$0.52,43.76
2018-09-30,34.56,$0.40,86.41
2018-06-30,19.3,$0.22,87.75
2018-03-31,13.4,$0.14,95.69
2017-12-31,14.09,$0.05,281.89
2017-09-30,8.93,$0.13,68.7
2017-06-30,8.0,$0.24,33.34
2017-03-31,8.28,$0.40,20.7
2016-12-31,10.33,$0.61,16.93
2016-09-30,15.81,$0.70,22.58
2016-06-30,20.24,$0.72,28.12
2016-03-31,17.83,$0.68,26.21
2015-12-31,26.08,$0.61,42.75
2015-09-30,22.66,$0.44,51.51
2015-06-30,21.65,$0.31,69.84
