SURO Capital PE Ratio Historical Data,SURO Capital PE Ratio Historical Data,SURO Capital PE Ratio Historical Data,SURO Capital PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,5.88,,0.0
2024-12-31,5.88,$-1.55,0.0
2024-09-30,4.04,$-1.89,0.0
2024-06-30,4.01,$-0.67,0.0
2024-03-31,4.55,$-0.82,0.0
2023-12-31,3.94,$0.21,18.76
2023-09-30,3.62,$0.07,51.71
2023-06-30,3.2,$-2.46,0.0
2023-03-31,3.62,$-4.94,0.0
2022-12-31,3.8,$-4.44,0.0
2022-09-30,3.87,$-4.55,0.0
2022-06-30,6.4,$-2.46,0.0
2022-03-31,8.63,$1.94,4.45
2021-12-31,12.8,$5.78,2.21
2021-09-30,10.47,$9.18,1.14
2021-06-30,9.44,$9.39,1.01
2021-03-31,8.02,$9.17,0.87
2020-12-31,7.47,$3.31,2.26
2020-09-30,5.76,$0.64,9.01
2020-06-30,4.45,$0.13,34.25
2020-03-31,3.08,$-1.00,0.0
2019-12-31,3.44,$1.11,3.1
2019-09-30,3.13,$0.29,10.79
2019-06-30,3.21,$0.06,53.49
2019-03-31,3.8,$0.44,8.64
2018-12-31,2.62,$-0.01,0.0
2018-09-30,3.47,$0.55,6.3
2018-06-30,3.44,$0.93,3.7
2018-03-31,3.78,$0.84,4.5
2017-12-31,2.73,$0.71,3.85
2017-09-30,2.71,$-0.59,0.0
2017-06-30,2.18,$-1.09,0.0
2017-03-31,2.25,$-2.09,0.0
2016-12-31,2.52,$-3.38,0.0
2016-09-30,2.37,$-2.90,0.0
2016-06-30,2.5,$-2.38,0.0
2016-03-31,2.79,$-1.58,0.0
2015-12-31,3.31,$0.27,12.25
2015-09-30,2.77,$0.83,3.34
2015-06-30,3.64,$0.71,5.13
2015-03-31,3.46,$0.60,5.77
2014-12-31,3.05,$-0.13,0.0
2014-09-30,3.53,$1.94,1.82
2014-06-30,3.73,$1.93,1.93
2014-03-31,3.58,$2.16,1.66
2013-12-31,4.27,$1.78,2.4
2013-09-30,5.23,$-0.29,0.0
2013-06-30,2.77,$-0.94,0.0
2013-03-31,2.92,$-1.46,0.0
2012-12-31,2.98,$-1.09,0.0
2012-09-30,3.05,$-1.02,0.0
2012-06-30,3.28,$-1.00,0.0
2012-03-31,6.6,$-0.93,0.0
