Wireless Ronin Technologies PE Ratio Historical Data,Wireless Ronin Technologies PE Ratio Historical Data,Wireless Ronin Technologies PE Ratio Historical Data,Wireless Ronin Technologies PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.1,,0.0
2024-12-31,2.45,$-0.06,0.0
2024-09-30,4.59,$0.15,30.6
2024-06-30,4.69,$-0.08,0.0
2024-03-31,3.77,$-0.21,0.0
2023-12-31,2.36,$-0.34,0.0
2023-09-30,1.55,$-0.55,0.0
2023-06-30,3.05,$-0.42,0.0
2023-03-31,2.22,$-0.05,0.0
2022-12-31,1.74,$0.60,2.9
2022-09-30,1.8,$0.15,12.0
2022-06-30,1.83,$0.15,12.23
2022-03-31,2.47,$0.24,10.27
2021-12-31,4.2,$0.06,70.12
2021-09-30,4.05,$0.42,9.64
2021-06-30,6.51,$0.33,19.73
2021-03-31,5.49,$-0.69,0.0
2020-12-31,3.87,$-5.07,0.0
2020-09-30,2.94,$-4.80,0.0
2020-06-30,7.47,$-4.56,0.0
2020-03-31,2.35,$-3.69,0.0
2019-12-31,4.59,$0.30,15.3
2019-09-30,5.16,$-7.89,0.0
