Compass Therapeutics PE Ratio Historical Data,Compass Therapeutics PE Ratio Historical Data,Compass Therapeutics PE Ratio Historical Data,Compass Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.24,,0.0
2024-12-31,1.45,$-0.37,0.0
2024-09-30,1.84,$-0.37,0.0
2024-06-30,1.0,$-0.37,0.0
2024-03-31,1.98,$-0.36,0.0
2023-12-31,1.56,$-0.34,0.0
2023-09-30,1.97,$-0.33,0.0
2023-06-30,3.18,$-0.37,0.0
2023-03-31,3.27,$-0.36,0.0
2022-12-31,5.03,$-0.37,0.0
2022-09-30,2.28,$-0.42,0.0
