Kiora Pharmaceuticals PE Ratio Historical Data,Kiora Pharmaceuticals PE Ratio Historical Data,Kiora Pharmaceuticals PE Ratio Historical Data,Kiora Pharmaceuticals PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.18,,1.53
2024-09-30,3.66,$2.08,1.76
2024-06-30,4.2,$-5.12,0.0
2024-03-31,6.35,$-11.70,0.0
2023-12-31,4.7,$-24.12,0.0
2023-09-30,5.11,$-24.12,0.0
2023-06-30,5.79,$-70.39,0.0
2023-03-31,30.06,$-128.08,0.0
2022-12-31,30.87,$-216.29,0.0
2022-09-30,55.35,$-497.12,0.0
2022-06-30,169.42,$-547.25,0.0
2022-03-31,224.06,$-608.46,0.0
2021-12-31,543.6,$-644.46,0.0
2021-09-30,810.0,$-550.86,0.0
2021-06-30,1310.4,$-604.86,0.0
2021-03-31,1792.8,$-615.66,0.0
2020-12-31,1774.8,$-637.26,0.0
2020-09-30,1411.2,$-723.67,0.0
2020-06-30,1731.6,$-979.30,0.0
2020-03-31,1872.0,"$-1,058.40",0.0
2019-12-31,3607.2,$-849.60,0.0
2019-09-30,1148.4,$-845.87,0.0
2019-06-30,1296.0,$-809.68,0.0
2019-03-31,1647.0,$-971.61,0.0
2018-12-31,2511.54,"$-1,781.29",0.0
2018-09-30,1674.0,"$-2,267.09",0.0
2018-06-30,2862.0,"$-3,184.73",0.0
2018-03-31,2052.0,"$-4,318.27",0.0
2017-12-31,5778.0,"$-5,073.97",0.0
2017-09-30,6318.0,"$-6,369.45",0.0
2017-06-30,7398.0,"$-7,017.20",0.0
2017-03-31,13770.0,"$-7,988.81",0.0
2016-12-31,8802.0,"$-8,150.74",0.0
2016-09-30,9288.0,"$-7,395.04",0.0
2016-06-30,13986.0,"$-6,477.41",0.0
