WidePoint PE Ratio Historical Data,WidePoint PE Ratio Historical Data,WidePoint PE Ratio Historical Data,WidePoint PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.56,,0.0
2024-09-30,3.54,$-0.31,0.0
2024-06-30,4.19,$-0.37,0.0
2024-03-31,2.59,$-0.42,0.0
2023-12-31,2.32,$-0.46,0.0
2023-09-30,1.72,$-1.33,0.0
2023-06-30,1.86,$-1.29,0.0
2023-03-31,1.81,$-2.77,0.0
2022-12-31,1.82,$-2.70,0.0
2022-09-30,2.13,$-1.74,0.0
2022-06-30,2.39,$-1.62,0.0
2022-03-31,3.78,$-0.06,0.0
2021-12-31,3.93,$0.04,98.25
2021-09-30,5.25,$1.04,5.05
2021-06-30,7.26,$1.11,6.54
2021-03-31,9.2,$1.23,7.48
2020-12-31,10.11,$1.27,7.96
2020-09-30,5.0,$0.33,15.15
2020-06-30,6.96,$0.20,34.78
2020-03-31,3.66,$0.10,36.6
2019-12-31,3.98,0,0.0
2019-09-30,3.14,0,0.0
2019-06-30,4.18,0,0.0
2019-03-31,4.55,$-0.10,0.0
2018-12-31,4.17,$-0.20,0.0
2018-09-30,4.61,$-0.30,0.0
2018-06-30,5.5,$-0.30,0.0
2018-03-31,5.81,$-0.40,0.0
2017-12-31,6.5,$-0.40,0.0
2017-09-30,6.5,$-0.60,0.0
2017-06-30,4.6,$-0.60,0.0
2017-03-31,4.5,$-0.50,0.0
2016-12-31,8.1,$-0.50,0.0
2016-09-30,4.27,$-0.30,0.0
2016-06-30,5.9,$-0.50,0.0
2016-03-31,6.0,$-0.60,0.0
2015-12-31,6.95,$-0.60,0.0
2015-09-30,8.8,$-0.60,0.0
2015-06-30,16.7,$-1.20,0.0
2015-03-31,13.2,$-1.10,0.0
2014-12-31,13.8,$-1.10,0.0
2014-09-30,17.15,$-1.30,0.0
2014-06-30,17.6,$-0.50,0.0
2014-03-31,16.0,$-0.40,0.0
2013-12-31,16.4,$-0.30,0.0
2013-09-30,8.9,$0.10,89.0
2013-06-30,8.2,$0.10,81.99
2013-03-31,6.2,0,0.0
2012-12-31,3.7,0,0.0
2012-09-30,3.8,$-0.10,0.0
2012-06-30,6.3,$-0.10,0.0
2012-03-31,9.3,0,0.0
2011-12-31,6.88,$-0.10,0.0
2011-09-30,7.4,$0.60,12.33
2011-06-30,8.4,$0.80,10.5
2011-03-31,12.7,$0.90,14.11
2010-12-31,13.4,$1.00,13.4
2010-09-30,11.2,$0.40,28.0
2010-06-30,8.3,$0.30,27.67
2010-03-31,7.5,$0.20,37.5
2009-12-31,7.5,$0.20,37.5
